"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_sign/aes_rsa_sha_512/microbench-decode-4MB-1.csv",,,,"Date:","20 Apr 2016 18:48:36 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 18:48:36,2.501,0.403,96.953,0.142,0.0,0.000,7953.726,38321.068,391655424.0,260579328.0,1096232960.0,5393108992.0,0.0,0.0
20-04 18:48:37,6.734,5.845,84.498,2.922,0.0,0.0,0.0,491520.0,424218624.0,260579328.0,1096486912.0,5360291840.0,308.0,258.0
20-04 18:48:38,5.875,6.750,87.375,0.0,0.0,0.0,0.0,0.0,466411520.0,260579328.0,1096564736.0,5318021120.0,522.0,250.0
20-04 18:48:39,10.902,1.504,87.594,0.0,0.0,0.0,0.0,0.0,470667264.0,260579328.0,1096564736.0,5313765376.0,166.0,0.0
20-04 18:48:40,10.737,2.122,87.141,0.0,0.0,0.0,0.0,0.0,470093824.0,260579328.0,1096564736.0,5314338816.0,64.0,0.0
20-04 18:48:41,10.513,1.877,87.610,0.0,0.0,0.0,0.0,8192.0,466395136.0,260579328.0,1096564736.0,5318037504.0,0.0,0.0
20-04 18:48:42,11.236,1.498,87.016,0.250,0.0,0.0,0.0,147456.0,470142976.0,260579328.0,1096564736.0,5314289664.0,190.0,70.0
20-04 18:48:43,10.777,1.629,87.594,0.0,0.0,0.0,0.0,0.0,466395136.0,260579328.0,1096564736.0,5318037504.0,0.0,0.0
20-04 18:48:44,11.389,1.126,87.484,0.0,0.0,0.0,0.0,0.0,456826880.0,260579328.0,1096564736.0,5327605760.0,64.0,0.0
