"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_sign/aes_rsa_sha_512/microbench-encode-4MB-6.csv",,,,"Date:","19 Apr 2016 22:45:59 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 22:45:59,7.613,1.281,90.391,0.713,0.0,0.001,46245.322,188443.799,370487296.0,184377344.0,1082937344.0,5503774720.0,0.0,0.0
19-04 22:46:00,4.906,6.918,85.283,2.893,0.0,0.0,0.0,679936.0,398913536.0,184426496.0,1082904576.0,5475332096.0,812.0,258.0
19-04 22:46:01,6.391,6.140,87.469,0.0,0.0,0.0,0.0,0.0,435294208.0,184426496.0,1083252736.0,5438603264.0,506.0,250.0
19-04 22:46:02,11.014,1.502,87.484,0.0,0.0,0.0,0.0,0.0,446889984.0,184426496.0,1083273216.0,5426987008.0,998.0,0.0
19-04 22:46:03,11.014,1.627,87.359,0.0,0.0,0.0,0.0,0.0,449781760.0,184426496.0,1083273216.0,5424095232.0,424.0,0.0
19-04 22:46:04,10.875,1.750,87.375,0.0,0.0,0.0,0.0,0.0,445472768.0,184426496.0,1083273216.0,5428404224.0,600.0,0.0
19-04 22:46:05,11.014,1.377,87.610,0.0,0.0,0.0,0.0,0.0,450150400.0,184426496.0,1083273216.0,5423726592.0,364.0,70.0
19-04 22:46:06,10.875,1.750,87.250,0.125,0.0,0.0,0.0,155648.0,445861888.0,184426496.0,1083273216.0,5428015104.0,486.0,0.0
19-04 22:46:07,10.763,1.627,87.610,0.0,0.0,0.0,0.0,0.0,449355776.0,184426496.0,1083273216.0,5424521216.0,544.0,0.0
19-04 22:46:08,5.570,2.785,87.848,3.797,0.0,0.0,0.0,204800.0,377643008.0,184426496.0,1083273216.0,5496233984.0,1.84467440737e+19,1.84467440737e+19
