"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_sign/aes_rsa_sha_512/microbench-decode-16MB-4.csv",,,,"Date:","20 Apr 2016 18:51:43 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 18:51:43,2.517,0.407,96.932,0.143,0.0,0.000,7936.330,38409.295,395436032.0,260579328.0,1096380416.0,5389180928.0,0.0,0.0
20-04 18:51:44,7.323,5.556,84.848,2.273,0.0,0.0,0.0,610304.0,430804992.0,260579328.0,1096441856.0,5353750528.0,474.0,180.0
20-04 18:51:45,0.250,12.140,87.610,0.0,0.0,0.0,0.0,0.0,444686336.0,260579328.0,1096658944.0,5339652096.0,356.0,78.0
20-04 18:51:46,5.375,7.250,87.375,0.0,0.0,0.0,0.0,8192.0,472698880.0,260579328.0,1096695808.0,5311602688.0,166.0,250.0
20-04 18:51:47,11.765,0.751,87.484,0.0,0.0,0.0,0.0,0.0,522915840.0,260579328.0,1096708096.0,5261373440.0,64.0,0.0
20-04 18:51:48,12.015,0.501,87.484,0.0,0.0,0.0,0.0,0.0,505798656.0,260579328.0,1096708096.0,5278490624.0,0.0,0.0
20-04 18:51:49,11.486,1.124,87.266,0.125,0.0,0.0,0.0,159744.0,502939648.0,260579328.0,1096708096.0,5281349632.0,190.0,0.0
20-04 18:51:50,11.640,0.751,87.610,0.0,0.0,0.0,0.0,0.0,522891264.0,260579328.0,1096708096.0,5261398016.0,0.0,70.0
20-04 18:51:51,11.765,0.751,87.484,0.0,0.0,0.0,0.0,372736.0,505925632.0,260579328.0,1096708096.0,5278363648.0,64.0,0.0
20-04 18:51:52,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,522891264.0,260579328.0,1096708096.0,5261398016.0,0.0,0.0
20-04 18:51:53,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,524328960.0,260579328.0,1096708096.0,5259960320.0,190.0,0.0
20-04 18:51:54,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,507011072.0,260579328.0,1096708096.0,5277278208.0,0.0,70.0
20-04 18:51:55,11.765,0.751,87.359,0.125,0.0,0.0,0.0,12288.0,524103680.0,260579328.0,1096708096.0,5260185600.0,64.0,0.0
20-04 18:51:56,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,507265024.0,260579328.0,1096708096.0,5277024256.0,0.0,0.0
20-04 18:51:57,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,507265024.0,260579328.0,1096708096.0,5277024256.0,64.0,0.0
20-04 18:51:58,11.765,0.751,87.484,0.0,0.0,0.0,0.0,0.0,523976704.0,260579328.0,1096708096.0,5260312576.0,0.0,0.0
20-04 18:51:59,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,507265024.0,260579328.0,1096708096.0,5277024256.0,64.0,0.0
20-04 18:52:00,11.640,0.751,86.984,0.626,0.0,0.0,0.0,20480.0,523943936.0,260579328.0,1096708096.0,5260345344.0,0.0,0.0
20-04 18:52:01,11.361,1.248,87.391,0.0,0.0,0.0,0.0,0.0,523436032.0,260579328.0,1096708096.0,5260853248.0,64.0,0.0
20-04 18:52:02,11.153,1.253,87.594,0.0,0.0,0.0,0.0,0.0,506724352.0,260579328.0,1096708096.0,5277564928.0,0.0,0.0
20-04 18:52:03,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,523436032.0,260579328.0,1096708096.0,5260853248.0,64.0,0.0
20-04 18:52:04,11.529,0.877,87.594,0.0,0.0,0.0,0.0,0.0,506724352.0,260579328.0,1096708096.0,5277564928.0,0.0,0.0
20-04 18:52:05,11.250,1.250,86.750,0.750,0.0,0.0,0.0,12288.0,491462656.0,260579328.0,1096708096.0,5292826624.0,64.0,0.0
20-04 18:52:06,11.765,0.751,87.484,0.0,0.0,0.0,0.0,12288.0,523436032.0,260579328.0,1096708096.0,5260853248.0,0.0,0.0
20-04 18:52:07,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,506851328.0,260579328.0,1096708096.0,5277437952.0,64.0,0.0
20-04 18:52:08,11.514,1.001,87.484,0.0,0.0,0.0,0.0,0.0,523436032.0,260579328.0,1096708096.0,5260853248.0,0.0,0.0
