"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_sign/aes_rsa_sha_512/microbench-encode-16MB-9.csv",,,,"Date:","19 Apr 2016 22:51:16 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 22:51:16,7.641,1.306,90.323,0.729,0.0,0.001,45175.849,191816.780,372867072.0,189661184.0,1084960768.0,5494087680.0,0.0,0.0
19-04 22:51:17,5.584,6.599,84.264,3.426,0.0,0.127,0.0,700416.0,405381120.0,189730816.0,1084973056.0,5461491712.0,822.0,168.0
19-04 22:51:18,0.877,11.529,87.594,0.0,0.0,0.0,0.0,0.0,421519360.0,189730816.0,1085292544.0,5445033984.0,758.0,340.0
19-04 22:51:19,4.500,8.0,87.500,0.0,0.0,0.0,0.0,0.0,456343552.0,189730816.0,1085313024.0,5410189312.0,650.0,0.0
19-04 22:51:20,11.250,1.500,87.250,0.0,0.0,0.0,0.0,0.0,500772864.0,189730816.0,1085313024.0,5365760000.0,720.0,0.0
19-04 22:51:21,11.610,0.999,87.391,0.0,0.0,0.0,0.0,0.0,483954688.0,189730816.0,1085341696.0,5382549504.0,304.0,0.0
19-04 22:51:22,11.361,1.248,87.016,0.375,0.0,0.0,0.0,163840.0,482426880.0,189730816.0,1085341696.0,5384077312.0,246.0,70.0
19-04 22:51:23,11.500,1.125,87.375,0.0,0.0,0.0,0.0,0.0,502362112.0,189730816.0,1085341696.0,5364142080.0,300.0,0.0
19-04 22:51:24,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,485490688.0,189730816.0,1085341696.0,5381013504.0,304.0,0.0
19-04 22:51:25,11.404,1.003,87.594,0.0,0.0,0.0,0.0,0.0,502525952.0,189730816.0,1085341696.0,5363978240.0,360.0,0.0
19-04 22:51:26,11.735,0.874,87.391,0.0,0.0,0.0,0.0,806912.0,501637120.0,189730816.0,1085341696.0,5364867072.0,310.0,70.0
19-04 22:51:27,11.404,1.003,87.594,0.0,0.0,0.0,0.0,0.0,485052416.0,189730816.0,1085341696.0,5381451776.0,180.0,0.0
19-04 22:51:28,11.610,0.999,87.016,0.375,0.0,0.0,0.0,36864.0,502145024.0,189730816.0,1085341696.0,5364359168.0,124.0,0.0
19-04 22:51:29,11.389,1.126,87.484,0.0,0.0,0.0,0.0,0.0,485306368.0,189730816.0,1085341696.0,5381197824.0,180.0,0.0
19-04 22:51:30,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,484511744.0,189730816.0,1085341696.0,5381992448.0,184.0,0.0
19-04 22:51:31,11.486,1.124,87.391,0.0,0.0,0.0,0.0,253952.0,502112256.0,189730816.0,1085341696.0,5364391936.0,0.0,0.0
19-04 22:51:32,11.278,1.128,87.594,0.0,0.0,0.0,0.0,0.0,485629952.0,189730816.0,1085341696.0,5380874240.0,244.0,0.0
19-04 22:51:33,11.625,1.0,87.375,0.0,0.0,0.0,0.0,0.0,502976512.0,189730816.0,1085341696.0,5363527680.0,480.0,0.0
19-04 22:51:34,11.375,1.125,87.250,0.250,0.0,0.0,0.0,77824.0,502022144.0,189730816.0,1085341696.0,5364482048.0,244.0,0.0
19-04 22:51:35,11.750,0.750,87.500,0.0,0.0,0.0,0.0,0.0,485183488.0,189730816.0,1085341696.0,5381320704.0,180.0,0.0
19-04 22:51:36,12.0,0.625,87.375,0.0,0.0,0.0,0.0,0.0,501989376.0,189730816.0,1085341696.0,5364514816.0,244.0,0.0
19-04 22:51:37,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,490614784.0,189730816.0,1085341696.0,5375889408.0,120.0,0.0
19-04 22:51:38,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,485437440.0,189730816.0,1085341696.0,5381066752.0,544.0,0.0
19-04 22:51:39,11.625,1.0,87.375,0.0,0.0,0.0,0.0,0.0,502149120.0,189730816.0,1085341696.0,5364355072.0,180.0,0.0
19-04 22:51:40,11.625,0.875,87.375,0.125,0.0,0.0,0.0,12288.0,485404672.0,189730816.0,1085341696.0,5381099520.0,304.0,0.0
19-04 22:51:41,10.414,1.255,87.829,0.502,0.0,0.0,0.0,16384.0,386957312.0,189730816.0,1085341696.0,5479546880.0,768.0,648.0
