"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_sign/cauchy_rsa_sha_512/microbench-decode-16MB-10.csv",,,,"Date:","20 Apr 2016 18:32:33 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 18:32:33,2.360,0.412,97.073,0.155,0.0,0.000,8039.766,37862.298,405946368.0,261300224.0,1098883072.0,5375447040.0,0.0,0.0
20-04 18:32:34,6.835,6.329,84.177,2.658,0.0,0.0,0.0,614400.0,440446976.0,261304320.0,1099046912.0,5340778496.0,308.0,168.0
20-04 18:32:35,0.877,11.529,87.594,0.0,0.0,0.0,0.0,8192.0,455282688.0,261304320.0,1099223040.0,5325766656.0,688.0,250.0
20-04 18:32:36,4.869,7.740,87.391,0.0,0.0,0.0,0.0,0.0,485117952.0,261304320.0,1099227136.0,5295927296.0,0.0,90.0
20-04 18:32:37,11.014,1.627,87.359,0.0,0.0,0.0,0.0,0.0,548859904.0,261304320.0,1099210752.0,5232201728.0,64.0,0.0
20-04 18:32:38,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,565800960.0,261304320.0,1099210752.0,5215260672.0,0.0,0.0
20-04 18:32:39,11.514,1.001,87.109,0.375,0.0,0.0,0.0,180224.0,548962304.0,261304320.0,1099210752.0,5232099328.0,190.0,70.0
20-04 18:32:40,11.875,0.625,87.500,0.0,0.0,0.0,0.0,0.0,549216256.0,261304320.0,1099210752.0,5231845376.0,0.0,0.0
20-04 18:32:41,11.529,0.877,87.594,0.0,0.0,0.0,0.0,0.0,549343232.0,261304320.0,1099210752.0,5231718400.0,64.0,0.0
20-04 18:32:42,11.831,0.996,87.173,0.0,0.0,0.0,0.0,0.0,551034880.0,261304320.0,1099210752.0,5230026752.0,0.0,0.0
20-04 18:32:43,11.905,0.501,87.594,0.0,0.0,0.0,0.0,0.0,550301696.0,261304320.0,1099210752.0,5230759936.0,190.0,70.0
20-04 18:32:44,11.875,0.625,87.500,0.0,0.0,0.0,0.0,0.0,550174720.0,261304320.0,1099210752.0,5230886912.0,0.0,0.0
20-04 18:32:45,11.625,0.875,87.125,0.375,0.0,0.0,0.0,12288.0,550678528.0,261312512.0,1099206656.0,5230379008.0,64.0,0.0
20-04 18:32:46,11.640,0.876,87.484,0.0,0.0,0.0,0.0,0.0,550932480.0,261312512.0,1099206656.0,5230125056.0,0.0,0.0
20-04 18:32:47,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,567513088.0,261312512.0,1099210752.0,5213540352.0,64.0,0.0
20-04 18:32:48,11.750,0.750,87.500,0.0,0.0,0.0,0.0,0.0,550166528.0,261312512.0,1099210752.0,5230886912.0,0.0,0.0
20-04 18:32:49,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,550801408.0,261312512.0,1099210752.0,5230252032.0,64.0,0.0
20-04 18:32:50,11.389,1.001,87.610,0.0,0.0,0.0,0.0,12288.0,550326272.0,261312512.0,1099210752.0,5230727168.0,0.0,0.0
20-04 18:32:51,11.750,0.750,87.375,0.125,0.0,0.0,0.0,32768.0,550199296.0,261316608.0,1099206656.0,5230854144.0,64.0,0.0
20-04 18:32:52,11.765,0.751,87.484,0.0,0.0,0.0,0.0,0.0,550920192.0,261316608.0,1099210752.0,5230129152.0,0.0,0.0
20-04 18:32:53,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,550412288.0,261316608.0,1099210752.0,5230637056.0,64.0,0.0
20-04 18:32:54,11.529,0.877,87.594,0.0,0.0,0.0,0.0,0.0,550260736.0,261316608.0,1099210752.0,5230788608.0,0.0,0.0
20-04 18:32:55,11.735,0.874,87.391,0.0,0.0,0.0,0.0,348160.0,550768640.0,261316608.0,1099210752.0,5230280704.0,64.0,0.0
20-04 18:32:56,11.543,0.753,87.453,0.251,0.0,0.0,0.0,12288.0,562016256.0,261320704.0,1099206656.0,5219033088.0,0.0,0.0
20-04 18:32:57,11.735,0.874,87.391,0.0,0.0,0.0,0.0,0.0,535007232.0,261320704.0,1099210752.0,5246038016.0,64.0,0.0
20-04 18:32:58,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,550764544.0,261320704.0,1099210752.0,5230280704.0,0.0,0.0
20-04 18:32:59,11.640,0.876,87.484,0.0,0.0,0.0,0.0,0.0,551018496.0,261320704.0,1099210752.0,5230026752.0,64.0,0.0
20-04 18:33:00,11.640,0.751,87.610,0.0,0.0,0.0,0.0,8192.0,550383616.0,261320704.0,1099210752.0,5230661632.0,0.0,0.0
20-04 18:33:01,9.925,1.508,87.814,0.754,0.0,0.0,0.0,73728.0,421572608.0,261324800.0,1099202560.0,5359476736.0,712.0,648.0
