"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_sign/cauchy_rsa_sha_512/microbench-encode-4MB-8.csv",,,,"Date:","19 Apr 2016 22:21:47 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 22:21:47,7.215,1.226,90.768,0.791,0.0,0.001,51811.022,194338.918,365084672.0,173309952.0,1079529472.0,5523652608.0,0.0,0.0
19-04 22:21:48,5.779,6.910,84.296,3.015,0.0,0.0,0.0,688128.0,396292096.0,173314048.0,1079771136.0,5492199424.0,728.0,90.0
19-04 22:21:49,6.500,6.125,87.375,0.0,0.0,0.0,0.0,0.0,429756416.0,173314048.0,1079836672.0,5458669568.0,822.0,168.0
19-04 22:21:50,10.875,1.625,87.500,0.0,0.0,0.0,0.0,0.0,445181952.0,173314048.0,1079848960.0,5443231744.0,346.0,250.0
19-04 22:21:51,10.875,1.875,87.250,0.0,0.0,0.0,0.0,4096.0,445190144.0,173314048.0,1079820288.0,5443252224.0,424.0,0.0
19-04 22:21:52,10.875,1.750,87.375,0.0,0.0,0.0,0.0,0.0,445263872.0,173314048.0,1079820288.0,5443178496.0,240.0,0.0
19-04 22:21:53,10.875,1.625,87.125,0.375,0.0,0.0,0.0,167936.0,445435904.0,173314048.0,1079820288.0,5443006464.0,550.0,0.0
19-04 22:21:54,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,445190144.0,173314048.0,1079820288.0,5443252224.0,300.0,70.0
19-04 22:21:55,11.375,1.250,87.375,0.0,0.0,0.0,0.0,0.0,445358080.0,173314048.0,1079820288.0,5443084288.0,244.0,0.0
19-04 22:21:56,10.375,1.500,88.125,0.0,0.0,0.0,0.0,0.0,377077760.0,173314048.0,1079820288.0,5511364608.0,360.0,0.0
