"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_sign/cauchy_rsa_sha_512/microbench-decode-64MB-2.csv",,,,"Date:","20 Apr 2016 18:34:59 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 18:34:59,2.373,0.416,97.056,0.155,0.0,0.000,8025.959,37837.301,406142976.0,261443584.0,1098915840.0,5375074304.0,0.0,0.0
20-04 18:35:00,6.599,5.584,84.264,3.553,0.0,0.0,0.0,618496.0,437248000.0,261451776.0,1099010048.0,5343866880.0,308.0,180.0
20-04 18:35:01,1.001,11.514,87.484,0.0,0.0,0.0,0.0,0.0,452694016.0,261451776.0,1099214848.0,5328216064.0,582.0,78.0
20-04 18:35:02,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,465244160.0,261451776.0,1099288576.0,5315592192.0,346.0,250.0
20-04 18:35:03,0.125,12.516,87.359,0.0,0.0,0.0,0.0,0.0,477401088.0,261451776.0,1099296768.0,5303427072.0,244.0,0.0
20-04 18:35:04,0.0,12.516,87.484,0.0,0.0,0.0,0.0,0.0,489992192.0,261451776.0,1099239424.0,5290893312.0,120.0,0.0
20-04 18:35:05,0.0,12.484,86.767,0.749,0.0,0.0,0.0,172032.0,502542336.0,261451776.0,1099239424.0,5278343168.0,250.0,0.0
20-04 18:35:06,1.752,10.763,87.484,0.0,0.0,0.0,0.0,0.0,525197312.0,261451776.0,1099239424.0,5255688192.0,180.0,70.0
20-04 18:35:07,10.763,1.627,87.610,0.0,0.0,0.0,0.0,0.0,735830016.0,261451776.0,1099243520.0,5045051392.0,244.0,0.0
20-04 18:35:08,9.375,3.125,87.500,0.0,0.0,0.0,0.0,0.0,762937344.0,261451776.0,1099243520.0,5017944064.0,120.0,0.0
20-04 18:35:09,10.500,2.0,87.500,0.0,0.0,0.0,0.0,0.0,762843136.0,261451776.0,1099243520.0,5018038272.0,190.0,0.0
20-04 18:35:10,10.388,2.128,87.484,0.0,0.0,0.0,0.0,0.0,762970112.0,261451776.0,1099243520.0,5017911296.0,0.0,70.0
20-04 18:35:11,10.625,1.875,87.250,0.250,0.0,0.0,0.0,12288.0,762961920.0,261459968.0,1099243520.0,5017911296.0,64.0,0.0
20-04 18:35:12,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,762834944.0,261459968.0,1099243520.0,5018038272.0,0.0,0.0
20-04 18:35:13,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,762904576.0,261459968.0,1099243520.0,5017968640.0,64.0,0.0
20-04 18:35:14,10.737,1.873,87.391,0.0,0.0,0.0,0.0,0.0,730304512.0,261459968.0,1099243520.0,5050568704.0,0.0,0.0
