"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_sign/cauchy_rsa_sha_512/microbench-encode-64MB-2.csv",,,,"Date:","19 Apr 2016 22:30:25 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 22:30:25,7.292,1.269,90.629,0.809,0.0,0.001,49656.382,198145.376,373219328.0,180162560.0,1082363904.0,5505830912.0,0.0,0.0
19-04 22:30:26,4.956,6.734,84.879,3.431,0.0,0.0,0.0,712704.0,402165760.0,180228096.0,1082376192.0,5476806656.0,654.0,90.0
19-04 22:30:27,1.252,11.264,87.484,0.0,0.0,0.0,0.0,0.0,418320384.0,180228096.0,1082703872.0,5460324352.0,596.0,168.0
19-04 22:30:28,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,431120384.0,180228096.0,1082740736.0,5447487488.0,586.0,250.0
19-04 22:30:29,0.0,12.641,87.359,0.0,0.0,0.0,0.0,0.0,443703296.0,180228096.0,1082740736.0,5434904576.0,424.0,0.0
19-04 22:30:30,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,454520832.0,180228096.0,1082740736.0,5424087040.0,660.0,0.0
19-04 22:30:31,0.0,12.516,87.484,0.0,0.0,0.0,0.0,0.0,467746816.0,180228096.0,1082740736.0,5410861056.0,730.0,0.0
19-04 22:30:32,1.625,10.875,87.0,0.500,0.0,0.0,0.0,163840.0,489828352.0,180240384.0,1082728448.0,5388779520.0,360.0,70.0
19-04 22:30:33,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,701931520.0,180240384.0,1082732544.0,5176672256.0,544.0,0.0
19-04 22:30:34,9.637,2.879,87.484,0.0,0.0,0.0,0.0,0.0,728875008.0,180240384.0,1082744832.0,5149716480.0,600.0,0.0
19-04 22:30:35,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,729382912.0,180240384.0,1082744832.0,5149208576.0,670.0,0.0
19-04 22:30:36,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,728842240.0,180240384.0,1082744832.0,5149749248.0,360.0,70.0
19-04 22:30:37,10.401,2.005,83.459,4.135,0.0,0.0,0.0,815104.0,728842240.0,180248576.0,1082736640.0,5149749248.0,424.0,0.0
19-04 22:30:38,10.625,2.0,87.375,0.0,0.0,0.0,0.0,0.0,729350144.0,180248576.0,1082736640.0,5149241344.0,420.0,0.0
19-04 22:30:39,10.638,1.752,87.610,0.0,0.0,0.0,0.0,0.0,728834048.0,180248576.0,1082744832.0,5149749248.0,544.0,0.0
19-04 22:30:40,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,728834048.0,180248576.0,1082744832.0,5149749248.0,720.0,0.0
19-04 22:30:41,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,728838144.0,180248576.0,1082744832.0,5149745152.0,364.0,0.0
19-04 22:30:42,10.777,1.754,86.842,0.627,0.0,0.0,0.0,331776.0,705867776.0,180252672.0,1082740736.0,5172715520.0,300.0,0.0
19-04 22:30:43,10.737,1.873,87.391,0.0,0.0,0.0,0.0,0.0,662646784.0,180252672.0,1082744832.0,5215932416.0,304.0,0.0
19-04 22:30:44,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,709640192.0,180252672.0,1082744832.0,5168939008.0,780.0,0.0
19-04 22:30:45,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,684474368.0,180252672.0,1082744832.0,5194104832.0,604.0,0.0
19-04 22:30:46,10.763,1.752,87.484,0.0,0.0,0.0,0.0,0.0,661946368.0,180252672.0,1082744832.0,5216632832.0,600.0,0.0
