"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_sign/xor_rsa_sha_512/microbench-decode-16MB-4.csv",,,,"Date:","20 Apr 2016 18:55:05 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 18:55:05,2.480,0.445,96.920,0.155,0.0,0.000,7913.359,37695.582,408944640.0,262836224.0,1099268096.0,5370527744.0,0.0,0.0
20-04 18:55:06,7.557,5.416,84.257,2.771,0.0,0.0,0.0,618496.0,442138624.0,262856704.0,1099255808.0,5337325568.0,594.0,258.0
20-04 18:55:07,0.501,11.890,87.610,0.0,0.0,0.0,0.0,0.0,456720384.0,262856704.0,1099530240.0,5322469376.0,536.0,250.0
20-04 18:55:08,5.125,7.500,87.375,0.0,0.0,0.0,0.0,0.0,502665216.0,262856704.0,1099534336.0,5276520448.0,346.0,0.0
20-04 18:55:09,11.028,1.504,87.469,0.0,0.0,0.0,0.0,0.0,585588736.0,262856704.0,1099542528.0,5193588736.0,124.0,0.0
20-04 18:55:10,11.486,1.124,87.391,0.0,0.0,0.0,0.0,0.0,603103232.0,262856704.0,1099595776.0,5176020992.0,0.0,0.0
20-04 18:55:11,11.750,0.750,87.125,0.375,0.0,0.0,0.0,172032.0,602456064.0,262860800.0,1099591680.0,5176668160.0,190.0,70.0
20-04 18:55:12,11.750,0.875,87.375,0.0,0.0,0.0,0.0,0.0,602451968.0,262860800.0,1099595776.0,5176668160.0,0.0,0.0
20-04 18:55:13,11.264,1.126,87.610,0.0,0.0,0.0,0.0,0.0,586121216.0,262860800.0,1099595776.0,5192998912.0,64.0,0.0
20-04 18:55:14,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,570068992.0,262860800.0,1099595776.0,5209051136.0,0.0,0.0
20-04 18:55:15,11.750,0.875,87.375,0.0,0.0,0.0,0.0,0.0,602951680.0,262860800.0,1099595776.0,5176168448.0,190.0,70.0
20-04 18:55:16,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,602443776.0,262860800.0,1099595776.0,5176676352.0,0.0,0.0
20-04 18:55:17,11.750,0.750,87.125,0.375,0.0,0.0,0.0,12288.0,602943488.0,262860800.0,1099595776.0,5176176640.0,64.0,0.0
20-04 18:55:18,11.486,1.124,87.391,0.0,0.0,0.0,0.0,0.0,586358784.0,262860800.0,1099595776.0,5192761344.0,0.0,0.0
20-04 18:55:19,11.264,1.126,84.355,3.254,0.0,0.0,0.0,364544.0,576573440.0,262860800.0,1099595776.0,5202546688.0,64.0,0.0
20-04 18:55:20,11.625,1.0,87.375,0.0,0.0,0.0,0.0,0.0,602951680.0,262860800.0,1099595776.0,5176168448.0,0.0,0.0
20-04 18:55:21,11.264,1.126,87.610,0.0,0.0,0.0,0.0,0.0,602443776.0,262860800.0,1099595776.0,5176676352.0,64.0,0.0
20-04 18:55:22,11.529,0.877,87.093,0.501,0.0,0.0,0.0,28672.0,603078656.0,262860800.0,1099595776.0,5176041472.0,0.0,0.0
20-04 18:55:23,11.970,0.748,87.282,0.0,0.0,0.0,0.0,0.0,586366976.0,262860800.0,1099595776.0,5192753152.0,64.0,0.0
20-04 18:55:24,11.500,1.0,87.500,0.0,0.0,0.0,0.0,98304.0,574324736.0,262860800.0,1099595776.0,5204795392.0,0.0,0.0
20-04 18:55:25,11.278,1.128,87.594,0.0,0.0,0.0,0.0,0.0,602411008.0,262860800.0,1099595776.0,5176709120.0,64.0,0.0
20-04 18:55:26,10.737,1.248,88.015,0.0,0.0,0.0,0.0,0.0,458977280.0,262860800.0,1099595776.0,5320142848.0,0.0,0.0
