"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_sign/xor_rsa_sha_512/microbench-encode-16MB-7.csv",,,,"Date:","19 Apr 2016 22:53:12 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 22:53:12,7.480,1.405,90.310,0.804,0.0,0.001,44749.174,196002.951,385191936.0,190205952.0,1087078400.0,5479100416.0,0.0,0.0
19-04 22:53:13,6.582,5.949,84.810,2.658,0.0,0.0,0.0,741376.0,415731712.0,190271488.0,1087156224.0,5448417280.0,512.0,180.0
19-04 22:53:14,0.750,11.750,87.500,0.0,0.0,0.0,0.0,0.0,431398912.0,190271488.0,1087463424.0,5432442880.0,326.0,78.0
19-04 22:53:15,4.762,7.644,87.594,0.0,0.0,0.0,0.0,147456.0,460242944.0,190271488.0,1087488000.0,5403574272.0,818.0,250.0
19-04 22:53:16,11.014,1.627,87.359,0.0,0.0,0.0,0.0,0.0,577904640.0,190271488.0,1087492096.0,5285908480.0,304.0,0.0
19-04 22:53:17,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,578666496.0,190271488.0,1087492096.0,5285146624.0,360.0,0.0
19-04 22:53:18,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,574631936.0,190271488.0,1087492096.0,5289181184.0,304.0,0.0
19-04 22:53:19,11.250,1.375,86.875,0.500,0.0,0.0,0.0,192512.0,561917952.0,190275584.0,1087492096.0,5301891072.0,486.0,70.0
19-04 22:53:20,11.625,0.875,87.500,0.0,0.0,0.0,0.0,24576.0,545755136.0,190275584.0,1087492096.0,5318053888.0,124.0,0.0
19-04 22:53:21,11.139,1.377,87.484,0.0,0.0,0.0,0.0,0.0,579375104.0,190275584.0,1087492096.0,5284433920.0,240.0,0.0
19-04 22:53:22,11.153,1.253,87.594,0.0,0.0,0.0,0.0,0.0,579375104.0,190275584.0,1087492096.0,5284433920.0,244.0,0.0
19-04 22:53:23,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,579182592.0,190275584.0,1087492096.0,5284626432.0,426.0,70.0
19-04 22:53:24,11.250,1.250,87.125,0.375,0.0,0.0,0.0,40960.0,579276800.0,190275584.0,1087492096.0,5284532224.0,364.0,0.0
19-04 22:53:25,11.389,1.126,87.484,0.0,0.0,0.0,0.0,0.0,562946048.0,190275584.0,1087492096.0,5300862976.0,300.0,0.0
19-04 22:53:26,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,547061760.0,190275584.0,1087492096.0,5316747264.0,364.0,0.0
19-04 22:53:27,11.014,1.502,87.484,0.0,0.0,0.0,0.0,0.0,579276800.0,190275584.0,1087492096.0,5284532224.0,360.0,0.0
19-04 22:53:28,11.236,1.373,87.391,0.0,0.0,0.0,0.0,0.0,579117056.0,190275584.0,1087492096.0,5284691968.0,424.0,0.0
19-04 22:53:29,11.0,1.500,87.250,0.250,0.0,0.0,0.0,20480.0,579624960.0,190275584.0,1087492096.0,5284184064.0,180.0,0.0
19-04 22:53:30,11.264,1.126,87.610,0.0,0.0,0.0,0.0,0.0,577974272.0,190275584.0,1087492096.0,5285834752.0,244.0,0.0
19-04 22:53:31,11.500,1.125,87.375,0.0,0.0,0.0,0.0,0.0,562728960.0,190275584.0,1087492096.0,5301080064.0,120.0,0.0
19-04 22:53:32,11.486,1.124,87.391,0.0,0.0,0.0,0.0,0.0,550748160.0,190275584.0,1087492096.0,5313060864.0,124.0,0.0
19-04 22:53:33,10.513,1.001,88.486,0.0,0.0,0.0,0.0,0.0,398880768.0,190275584.0,1087492096.0,5464928256.0,60.0,0.0
