"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_sign/xor_rsa_sha_512/microbench-decode-64MB-3.csv",,,,"Date:","20 Apr 2016 19:00:45 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 19:00:45,2.509,0.454,96.882,0.156,0.0,0.000,7882.121,37703.047,408928256.0,262946816.0,1099386880.0,5370314752.0,0.0,0.0
20-04 19:00:46,7.468,5.570,83.671,3.165,0.0,0.127,0.0,614400.0,440582144.0,262946816.0,1099399168.0,5338648576.0,166.0,180.0
20-04 19:00:47,0.751,11.765,87.484,0.0,0.0,0.0,0.0,0.0,457547776.0,262946816.0,1099644928.0,5321437184.0,372.0,78.0
20-04 19:00:48,0.0,12.406,87.594,0.0,0.0,0.0,0.0,0.0,470192128.0,262946816.0,1099710464.0,5308727296.0,458.0,250.0
20-04 19:00:49,0.125,12.625,87.250,0.0,0.0,0.0,0.0,0.0,480256000.0,262946816.0,1099710464.0,5298663424.0,64.0,0.0
20-04 19:00:50,0.0,12.516,87.484,0.0,0.0,0.0,0.0,0.0,492756992.0,262946816.0,1099710464.0,5286162432.0,0.0,0.0
20-04 19:00:51,0.0,12.516,87.484,0.0,0.0,0.0,0.0,0.0,505307136.0,262946816.0,1099710464.0,5273612288.0,64.0,0.0
20-04 19:00:52,1.502,10.889,87.484,0.125,0.0,0.0,0.0,167936.0,526544896.0,262946816.0,1099710464.0,5252374528.0,126.0,70.0
20-04 19:00:53,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,623280128.0,262946816.0,1099714560.0,5155635200.0,64.0,0.0
20-04 19:00:54,10.875,1.750,87.375,0.0,0.0,0.0,0.0,0.0,763895808.0,262946816.0,1099714560.0,5015019520.0,0.0,0.0
20-04 19:00:55,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,799744000.0,262946816.0,1099714560.0,4979171328.0,64.0,0.0
20-04 19:00:56,9.512,3.004,87.484,0.0,0.0,0.0,0.0,0.0,874496000.0,262946816.0,1099714560.0,4904419328.0,126.0,70.0
20-04 19:00:57,10.250,2.250,86.875,0.625,0.0,0.0,0.0,12288.0,849903616.0,262946816.0,1099714560.0,4929011712.0,64.0,0.0
20-04 19:00:58,10.0,2.500,87.500,0.0,0.0,0.0,0.0,0.0,838082560.0,262946816.0,1099714560.0,4940832768.0,0.0,0.0
20-04 19:00:59,10.388,2.003,87.610,0.0,0.0,0.0,0.0,0.0,874496000.0,262946816.0,1099714560.0,4904419328.0,64.0,0.0
20-04 19:01:00,10.125,2.375,87.500,0.0,0.0,0.0,0.0,0.0,835858432.0,262946816.0,1099714560.0,4943056896.0,0.0,0.0
20-04 19:01:01,10.013,2.503,87.484,0.0,0.0,0.0,0.0,0.0,874496000.0,262946816.0,1099714560.0,4904419328.0,64.0,0.0
20-04 19:01:02,10.750,1.750,86.875,0.625,0.0,0.0,0.0,20480.0,758202368.0,262946816.0,1099714560.0,5020712960.0,0.0,0.0
20-04 19:01:03,10.025,2.381,87.594,0.0,0.0,0.0,0.0,0.0,879521792.0,262946816.0,1099714560.0,4899393536.0,64.0,0.0
20-04 19:01:04,10.388,2.128,87.484,0.0,0.0,0.0,0.0,0.0,880410624.0,262946816.0,1099714560.0,4898504704.0,0.0,0.0
20-04 19:01:05,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,801992704.0,262946816.0,1099714560.0,4976922624.0,64.0,0.0
20-04 19:01:06,9.875,2.625,87.500,0.0,0.0,0.0,0.0,0.0,814702592.0,262946816.0,1099714560.0,4964212736.0,0.0,0.0
20-04 19:01:07,10.401,2.005,87.093,0.501,0.0,0.0,0.0,12288.0,880918528.0,262946816.0,1099714560.0,4897996800.0,64.0,0.0
20-04 19:01:08,10.250,2.250,87.500,0.0,0.0,0.0,0.0,0.0,868401152.0,262946816.0,1099714560.0,4910514176.0,0.0,0.0
20-04 19:01:09,9.750,2.750,87.500,0.0,0.0,0.0,0.0,0.0,856707072.0,262946816.0,1099714560.0,4922208256.0,64.0,0.0
20-04 19:01:10,10.875,1.625,87.500,0.0,0.0,0.0,0.0,0.0,880537600.0,262946816.0,1099714560.0,4898377728.0,0.0,0.0
20-04 19:01:11,10.250,2.250,87.500,0.0,0.0,0.0,0.0,0.0,843870208.0,262946816.0,1099714560.0,4935045120.0,64.0,0.0
20-04 19:01:12,9.524,2.882,86.967,0.627,0.0,0.0,0.0,12288.0,880537600.0,262946816.0,1099714560.0,4898377728.0,0.0,0.0
20-04 19:01:13,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,756690944.0,262946816.0,1099714560.0,5022224384.0,64.0,0.0
20-04 19:01:14,10.125,2.375,87.500,0.0,0.0,0.0,0.0,0.0,871841792.0,262946816.0,1099714560.0,4907073536.0,0.0,0.0
20-04 19:01:15,10.025,2.381,87.594,0.0,0.0,0.0,0.0,24576.0,879910912.0,262946816.0,1099714560.0,4899004416.0,64.0,0.0
20-04 19:01:16,10.487,2.122,87.391,0.0,0.0,0.0,0.0,0.0,792469504.0,262946816.0,1099714560.0,4986445824.0,0.0,0.0
20-04 19:01:17,10.0,2.500,86.750,0.750,0.0,0.0,0.0,28672.0,936660992.0,262946816.0,1099714560.0,4842254336.0,64.0,0.0
20-04 19:01:18,10.513,1.877,87.610,0.0,0.0,0.0,0.0,0.0,879403008.0,262946816.0,1099714560.0,4899512320.0,0.0,0.0
20-04 19:01:19,10.750,1.875,87.375,0.0,0.0,0.0,0.0,0.0,844193792.0,262946816.0,1099718656.0,4934717440.0,64.0,0.0
20-04 19:01:20,10.025,2.381,85.840,1.754,0.0,0.0,0.0,442368.0,826081280.0,262946816.0,1099718656.0,4952829952.0,0.0,0.0
20-04 19:01:21,10.513,1.877,87.610,0.0,0.0,0.0,0.0,0.0,879398912.0,262946816.0,1099718656.0,4899512320.0,64.0,0.0
20-04 19:01:22,10.250,2.375,87.125,0.250,0.0,0.0,0.0,49152.0,830275584.0,262946816.0,1099718656.0,4948635648.0,0.0,0.0
20-04 19:01:23,10.013,2.378,87.610,0.0,0.0,0.0,0.0,0.0,879398912.0,262946816.0,1099718656.0,4899512320.0,64.0,0.0
20-04 19:01:24,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,752492544.0,262946816.0,1099718656.0,5026418688.0,0.0,0.0
20-04 19:01:25,10.150,2.381,87.469,0.0,0.0,0.0,0.0,4096.0,868024320.0,262946816.0,1099718656.0,4910886912.0,64.0,0.0
20-04 19:01:26,10.487,1.998,87.516,0.0,0.0,0.0,0.0,0.0,879271936.0,262946816.0,1099718656.0,4899639296.0,0.0,0.0
20-04 19:01:27,10.513,1.877,87.610,0.0,0.0,0.0,0.0,0.0,790368256.0,262946816.0,1099718656.0,4988542976.0,64.0,0.0
20-04 19:01:28,9.887,2.628,87.234,0.250,0.0,0.0,0.0,20480.0,930492416.0,262946816.0,1099718656.0,4848418816.0,0.0,0.0
20-04 19:01:29,10.763,1.752,87.484,0.0,0.0,0.0,0.0,0.0,879398912.0,262946816.0,1099718656.0,4899512320.0,64.0,0.0
20-04 19:01:30,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,840253440.0,262946816.0,1099718656.0,4938657792.0,0.0,0.0
20-04 19:01:31,10.125,2.375,87.500,0.0,0.0,0.0,0.0,0.0,822026240.0,262946816.0,1099718656.0,4956884992.0,64.0,0.0
20-04 19:01:32,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,879398912.0,262946816.0,1099718656.0,4899512320.0,0.0,0.0
20-04 19:01:33,9.762,2.628,86.859,0.751,0.0,0.0,0.0,12288.0,823984128.0,262946816.0,1099718656.0,4954927104.0,124.0,0.0
20-04 19:01:34,10.125,2.375,87.500,0.0,0.0,0.0,0.0,0.0,879366144.0,262946816.0,1099718656.0,4899545088.0,0.0,0.0
20-04 19:01:35,10.777,1.629,87.594,0.0,0.0,0.0,0.0,0.0,879874048.0,262946816.0,1099718656.0,4899037184.0,64.0,0.0
20-04 19:01:36,9.738,2.871,87.391,0.0,0.0,0.0,0.0,0.0,859602944.0,262946816.0,1099718656.0,4919308288.0,0.0,0.0
20-04 19:01:37,10.125,2.375,87.500,0.0,0.0,0.0,0.0,0.0,879366144.0,262946816.0,1099718656.0,4899545088.0,64.0,0.0
20-04 19:01:38,10.526,1.880,86.967,0.627,0.0,0.0,0.0,12288.0,779849728.0,262946816.0,1099718656.0,4999061504.0,0.0,0.0
20-04 19:01:39,10.0,2.500,87.500,0.0,0.0,0.0,0.0,0.0,909488128.0,262946816.0,1099718656.0,4869423104.0,64.0,0.0
20-04 19:01:40,10.263,2.253,87.484,0.0,0.0,0.0,0.0,0.0,879366144.0,262946816.0,1099718656.0,4899545088.0,0.0,0.0
20-04 19:01:41,10.513,1.877,87.610,0.0,0.0,0.0,0.0,0.0,814927872.0,262946816.0,1099718656.0,4963983360.0,0.0,0.0
20-04 19:01:42,10.0,2.500,87.500,0.0,0.0,0.0,0.0,0.0,813457408.0,262946816.0,1099718656.0,4965453824.0,64.0,0.0
20-04 19:01:43,10.638,1.877,86.358,1.126,0.0,0.0,0.0,12288.0,879366144.0,262946816.0,1099718656.0,4899545088.0,0.0,0.0
20-04 19:01:44,10.125,2.375,87.500,0.0,0.0,0.0,0.0,0.0,817532928.0,262946816.0,1099718656.0,4961378304.0,64.0,0.0
20-04 19:01:45,10.0,2.500,87.500,0.0,0.0,0.0,0.0,0.0,878604288.0,262946816.0,1099718656.0,4900306944.0,0.0,0.0
20-04 19:01:46,11.014,1.502,87.484,0.0,0.0,0.0,0.0,0.0,879239168.0,262946816.0,1099718656.0,4899672064.0,64.0,0.0
20-04 19:01:47,10.138,2.253,87.610,0.0,0.0,0.0,0.0,0.0,852930560.0,262946816.0,1099718656.0,4925980672.0,0.0,0.0
20-04 19:01:48,10.0,2.500,86.750,0.750,0.0,0.0,0.0,12288.0,879874048.0,262946816.0,1099718656.0,4899037184.0,64.0,0.0
20-04 19:01:49,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,771461120.0,262946816.0,1099718656.0,5007450112.0,60.0,0.0
20-04 19:01:50,10.013,2.503,87.484,0.0,0.0,0.0,0.0,0.0,886292480.0,262946816.0,1099718656.0,4892618752.0,124.0,0.0
20-04 19:01:51,10.500,2.0,87.500,0.0,0.0,0.0,0.0,0.0,879366144.0,262946816.0,1099718656.0,4899545088.0,360.0,0.0
20-04 19:01:52,10.388,2.128,87.484,0.0,0.0,0.0,0.0,0.0,805015552.0,262946816.0,1099718656.0,4973895680.0,64.0,0.0
20-04 19:01:53,10.025,2.381,87.469,0.125,0.0,0.0,0.0,12288.0,813457408.0,262946816.0,1099718656.0,4965453824.0,0.0,0.0
20-04 19:01:54,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,879366144.0,262946816.0,1099718656.0,4899545088.0,64.0,0.0
20-04 19:01:55,10.250,2.250,87.500,0.0,0.0,0.0,0.0,40960.0,858963968.0,262946816.0,1099722752.0,4919943168.0,0.0,0.0
20-04 19:01:56,9.900,2.506,87.594,0.0,0.0,0.0,0.0,0.0,836657152.0,262946816.0,1099722752.0,4942249984.0,64.0,0.0
