"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/decode/confd_sign/xor_rsa_sha_512/microbench-encode-64MB-7.csv",,,,"Date:","19 Apr 2016 23:04:00 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 23:04:00,7.551,1.472,90.182,0.795,0.0,0.001,42748.729,193585.141,388788224.0,194732032.0,1088991232.0,5469065216.0,0.0,0.0
19-04 23:04:01,6.423,6.423,84.005,3.149,0.0,0.0,0.0,569344.0,422313984.0,194789376.0,1089187840.0,5435285504.0,876.0,168.0
19-04 23:04:02,0.501,12.015,87.484,0.0,0.0,0.0,0.0,0.0,438493184.0,194789376.0,1089253376.0,5419040768.0,622.0,250.0
19-04 23:04:03,0.0,12.500,87.500,0.0,0.0,0.0,0.0,0.0,450850816.0,194789376.0,1089253376.0,5406683136.0,642.0,90.0
19-04 23:04:04,0.125,12.500,87.375,0.0,0.0,0.0,0.0,0.0,460824576.0,194789376.0,1089376256.0,5396586496.0,60.0,0.0
19-04 23:04:05,0.125,12.500,87.375,0.0,0.0,0.0,0.0,0.0,473473024.0,194789376.0,1089290240.0,5384024064.0,364.0,0.0
19-04 23:04:06,0.0,12.500,87.0,0.500,0.0,0.0,0.0,172032.0,484085760.0,194797568.0,1089282048.0,5373411328.0,60.0,70.0
19-04 23:04:07,1.752,10.763,87.484,0.0,0.0,0.0,0.0,0.0,516591616.0,194797568.0,1089282048.0,5340905472.0,430.0,0.0
19-04 23:04:08,11.750,0.750,87.500,0.0,0.0,0.0,0.0,0.0,596008960.0,194797568.0,1089294336.0,5261475840.0,780.0,0.0
19-04 23:04:09,10.861,1.748,87.391,0.0,0.0,0.0,0.0,0.0,677646336.0,194797568.0,1089294336.0,5179838464.0,484.0,0.0
19-04 23:04:10,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,772345856.0,194797568.0,1089294336.0,5085138944.0,480.0,70.0
19-04 23:04:11,9.637,2.879,87.484,0.0,0.0,0.0,0.0,0.0,852885504.0,194797568.0,1089294336.0,5004599296.0,610.0,0.0
19-04 23:04:12,10.763,1.752,87.359,0.125,0.0,0.0,0.0,16384.0,766717952.0,194797568.0,1089294336.0,5090766848.0,240.0,0.0
19-04 23:04:13,9.875,2.625,87.500,0.0,0.0,0.0,0.0,0.0,920027136.0,194797568.0,1089294336.0,4937457664.0,184.0,0.0
19-04 23:04:14,10.388,2.128,87.484,0.0,0.0,0.0,0.0,0.0,852856832.0,194797568.0,1089294336.0,5004627968.0,360.0,0.0
19-04 23:04:15,10.138,2.253,87.610,0.0,0.0,0.0,0.0,4096.0,850030592.0,194797568.0,1089294336.0,5007454208.0,424.0,0.0
19-04 23:04:16,10.487,2.122,87.391,0.0,0.0,0.0,0.0,0.0,848695296.0,194797568.0,1089294336.0,5008789504.0,240.0,0.0
19-04 23:04:17,10.750,1.750,87.250,0.250,0.0,0.0,0.0,20480.0,852856832.0,194797568.0,1089294336.0,5004627968.0,124.0,0.0
19-04 23:04:18,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,833982464.0,194797568.0,1089294336.0,5023502336.0,240.0,0.0
19-04 23:04:19,10.138,2.378,87.484,0.0,0.0,0.0,0.0,0.0,852729856.0,194797568.0,1089294336.0,5004754944.0,304.0,0.0
19-04 23:04:20,10.875,1.625,87.500,0.0,0.0,0.0,0.0,0.0,764715008.0,194797568.0,1089294336.0,5092769792.0,180.0,0.0
19-04 23:04:21,9.625,2.875,87.500,0.0,0.0,0.0,0.0,0.0,919359488.0,194797568.0,1089294336.0,4938125312.0,544.0,0.0
19-04 23:04:22,10.513,2.003,87.484,0.0,0.0,0.0,0.0,0.0,851775488.0,194797568.0,1089294336.0,5005709312.0,300.0,0.0
19-04 23:04:23,10.388,2.128,87.234,0.250,0.0,0.0,0.0,12288.0,844689408.0,194801664.0,1089290240.0,5012795392.0,664.0,0.0
19-04 23:04:24,10.0,2.500,87.500,0.0,0.0,0.0,0.0,0.0,839282688.0,194801664.0,1089294336.0,5018198016.0,360.0,0.0
19-04 23:04:25,11.0,1.625,87.375,0.0,0.0,0.0,0.0,24576.0,851841024.0,194801664.0,1089294336.0,5005639680.0,364.0,0.0
19-04 23:04:26,10.138,2.253,87.610,0.0,0.0,0.0,0.0,0.0,826040320.0,194801664.0,1089294336.0,5031440384.0,240.0,0.0
19-04 23:04:27,10.250,2.375,87.375,0.0,0.0,0.0,0.0,0.0,851808256.0,194801664.0,1089294336.0,5005672448.0,364.0,0.0
19-04 23:04:28,10.763,1.752,86.859,0.626,0.0,0.0,0.0,36864.0,753053696.0,194809856.0,1089286144.0,5104427008.0,240.0,0.0
19-04 23:04:29,9.762,2.753,87.484,0.0,0.0,0.0,0.0,0.0,888975360.0,194809856.0,1089294336.0,4968497152.0,304.0,0.0
19-04 23:04:30,10.375,2.250,87.250,0.125,0.0,0.0,0.0,106496.0,851927040.0,194809856.0,1089294336.0,5005545472.0,300.0,0.0
19-04 23:04:31,10.250,2.125,85.500,2.125,0.0,0.0,0.0,876544.0,813125632.0,194809856.0,1089298432.0,5044342784.0,424.0,0.0
19-04 23:04:32,10.138,2.378,87.484,0.0,0.0,0.0,0.0,0.0,809684992.0,194809856.0,1089298432.0,5047783424.0,300.0,0.0
19-04 23:04:33,10.861,1.748,87.141,0.250,0.0,0.0,0.0,61440.0,851755008.0,194818048.0,1089290240.0,5005713408.0,244.0,0.0
19-04 23:04:34,9.912,2.509,87.578,0.0,0.0,0.0,0.0,0.0,815976448.0,194818048.0,1089290240.0,5041491968.0,120.0,0.0
19-04 23:04:35,10.100,2.494,87.406,0.0,0.0,0.0,0.0,0.0,852045824.0,194818048.0,1089290240.0,5005422592.0,244.0,0.0
19-04 23:04:36,10.638,1.877,87.484,0.0,0.0,0.0,0.0,90112.0,746983424.0,194818048.0,1089298432.0,5110476800.0,240.0,0.0
19-04 23:04:37,9.875,2.625,87.500,0.0,0.0,0.0,0.0,0.0,878559232.0,194818048.0,1089298432.0,4978900992.0,184.0,0.0
19-04 23:04:38,10.652,1.754,86.717,0.877,0.0,0.0,0.0,40960.0,851869696.0,194822144.0,1089294336.0,5005590528.0,360.0,0.0
19-04 23:04:39,10.513,2.003,87.484,0.0,0.0,0.0,0.0,0.0,800808960.0,194822144.0,1089294336.0,5056651264.0,184.0,0.0
19-04 23:04:40,10.0,2.500,87.500,0.0,0.0,0.0,0.0,0.0,795148288.0,194822144.0,1089298432.0,5062307840.0,60.0,0.0
19-04 23:04:41,10.638,1.877,87.484,0.0,0.0,0.0,0.0,4096.0,851898368.0,194822144.0,1089298432.0,5005557760.0,244.0,0.0
19-04 23:04:42,10.125,2.375,87.500,0.0,0.0,0.0,0.0,0.0,809828352.0,194822144.0,1089298432.0,5047627776.0,420.0,0.0
19-04 23:04:43,9.900,2.506,87.343,0.251,0.0,0.0,0.0,24576.0,851992576.0,194822144.0,1089298432.0,5005463552.0,364.0,0.0
19-04 23:04:44,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,740528128.0,194822144.0,1089298432.0,5116928000.0,300.0,0.0
19-04 23:04:45,10.349,2.244,87.406,0.0,0.0,0.0,0.0,0.0,863875072.0,194822144.0,1089298432.0,4993581056.0,244.0,0.0
19-04 23:04:46,10.138,2.378,87.484,0.0,0.0,0.0,0.0,0.0,851865600.0,194822144.0,1089298432.0,5005590528.0,360.0,0.0
19-04 23:04:47,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,784281600.0,194822144.0,1089298432.0,5073174528.0,424.0,0.0
19-04 23:04:48,9.887,2.628,87.234,0.250,0.0,0.0,0.0,12288.0,785965056.0,194826240.0,1089294336.0,5071491072.0,360.0,0.0
19-04 23:04:49,10.625,2.0,87.375,0.0,0.0,0.0,0.0,0.0,851832832.0,194826240.0,1089294336.0,5005623296.0,424.0,0.0
19-04 23:04:50,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,794951680.0,194826240.0,1089298432.0,5062500352.0,60.0,0.0
19-04 23:04:51,10.163,2.258,87.578,0.0,0.0,0.0,0.0,0.0,851795968.0,194826240.0,1089298432.0,5005656064.0,244.0,0.0
19-04 23:04:52,10.723,1.870,87.406,0.0,0.0,0.0,0.0,0.0,723681280.0,194826240.0,1089298432.0,5133770752.0,60.0,0.0
19-04 23:04:53,10.250,2.250,87.125,0.375,0.0,0.0,0.0,12288.0,843407360.0,194830336.0,1089294336.0,5014044672.0,184.0,0.0
19-04 23:04:54,10.163,2.258,87.578,0.0,0.0,0.0,0.0,0.0,851791872.0,194830336.0,1089298432.0,5005656064.0,300.0,0.0
19-04 23:04:55,10.612,1.873,87.516,0.0,0.0,0.0,0.0,0.0,773500928.0,194830336.0,1089298432.0,5083947008.0,244.0,0.0
19-04 23:04:56,9.875,2.750,87.375,0.0,0.0,0.0,0.0,0.0,785924096.0,194830336.0,1089298432.0,5071523840.0,60.0,0.0
19-04 23:04:57,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,851759104.0,194830336.0,1089298432.0,5005688832.0,484.0,0.0
19-04 23:04:58,9.774,2.757,86.466,1.003,0.0,0.0,0.0,12288.0,790867968.0,194830336.0,1089298432.0,5066579968.0,240.0,0.0
19-04 23:04:59,9.887,2.628,87.484,0.0,0.0,0.0,0.0,0.0,851759104.0,194830336.0,1089298432.0,5005688832.0,244.0,0.0
19-04 23:05:00,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,720818176.0,194830336.0,1089298432.0,5136629760.0,180.0,0.0
19-04 23:05:01,9.774,2.632,87.594,0.0,0.0,0.0,0.0,0.0,841273344.0,194830336.0,1089298432.0,5016174592.0,244.0,0.0
19-04 23:05:02,10.125,2.500,87.375,0.0,0.0,0.0,0.0,0.0,877944832.0,194830336.0,1089298432.0,4979503104.0,120.0,0.0
19-04 23:05:03,10.638,1.752,86.984,0.626,0.0,0.0,0.0,12288.0,796061696.0,194830336.0,1089298432.0,5061386240.0,364.0,0.0
19-04 23:05:04,9.988,2.622,87.391,0.0,0.0,0.0,0.0,0.0,812044288.0,194830336.0,1089298432.0,5045403648.0,420.0,0.0
19-04 23:05:05,10.500,2.125,87.375,0.0,0.0,0.0,0.0,0.0,878235648.0,194830336.0,1089298432.0,4979212288.0,484.0,0.0
19-04 23:05:06,10.125,2.375,87.500,0.0,0.0,0.0,0.0,73728.0,877473792.0,194830336.0,1089298432.0,4979974144.0,480.0,0.0
19-04 23:05:07,9.637,2.879,87.484,0.0,0.0,0.0,0.0,0.0,869654528.0,194830336.0,1089298432.0,4987793408.0,604.0,0.0
19-04 23:05:08,10.638,1.877,86.984,0.501,0.0,0.0,0.0,12288.0,878043136.0,194830336.0,1089298432.0,4979404800.0,480.0,0.0
19-04 23:05:09,9.625,2.875,87.500,0.0,0.0,0.0,0.0,0.0,848044032.0,194830336.0,1089302528.0,5009399808.0,424.0,0.0
19-04 23:05:10,9.887,2.628,87.484,0.0,0.0,0.0,0.0,0.0,878039040.0,194830336.0,1089302528.0,4979404800.0,180.0,0.0
19-04 23:05:11,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,775057408.0,194830336.0,1089302528.0,5082386432.0,244.0,0.0
19-04 23:05:12,9.750,2.750,87.500,0.0,0.0,0.0,0.0,0.0,908890112.0,194830336.0,1089302528.0,4948553728.0,480.0,0.0
19-04 23:05:13,10.250,2.250,86.875,0.625,0.0,0.0,0.0,12288.0,878133248.0,194834432.0,1089298432.0,4979310592.0,184.0,0.0
19-04 23:05:14,10.763,1.752,87.484,0.0,0.0,0.0,0.0,0.0,829009920.0,194834432.0,1089298432.0,5028433920.0,300.0,0.0
19-04 23:05:15,10.100,2.494,87.406,0.0,0.0,0.0,0.0,0.0,819286016.0,194834432.0,1089298432.0,5038157824.0,184.0,0.0
