"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/confd/aes/microbench-encode-64MB-8.csv",,,,"Date:","20 Apr 2016 16:35:02 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 16:35:02,1.000,0.226,98.664,0.110,0.0,0.000,8979.935,39234.632,384147456.0,240201728.0,1094021120.0,5423206400.0,0.0,0.0
20-04 16:35:03,5.703,6.717,84.918,2.662,0.0,0.0,0.0,630784.0,417333248.0,240222208.0,1094111232.0,5389910016.0,718.0,168.0
20-04 16:35:04,6.0,6.625,87.375,0.0,0.0,0.0,0.0,0.0,1188786176.0,240222208.0,1094426624.0,4618141696.0,412.0,250.0
20-04 16:35:05,7.026,5.270,87.704,0.0,0.0,0.0,0.0,0.0,1554579456.0,240222208.0,1094438912.0,4252336128.0,290.0,90.0
20-04 16:35:06,6.742,5.993,87.141,0.125,0.0,0.0,0.0,0.0,1911316480.0,240222208.0,1094447104.0,3895590912.0,180.0,0.0
20-04 16:35:07,6.758,5.757,87.484,0.0,0.0,0.0,0.0,0.0,2274721792.0,240222208.0,1094447104.0,3532185600.0,244.0,0.0
20-04 16:35:08,6.884,5.507,87.610,0.0,0.0,0.0,0.0,0.0,2613026816.0,240222208.0,1094447104.0,3193880576.0,246.0,70.0
20-04 16:35:09,12.390,0.125,87.109,0.375,0.0,0.0,0.0,188416.0,2624458752.0,240230400.0,1094447104.0,3182440448.0,64.0,0.0
20-04 16:35:10,12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,2636140544.0,240230400.0,1094447104.0,3170758656.0,0.0,0.0
20-04 16:35:11,12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,2649862144.0,240230400.0,1094447104.0,3157037056.0,64.0,0.0
20-04 16:35:12,12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,2660343808.0,240230400.0,1094447104.0,3146555392.0,126.0,70.0
20-04 16:35:13,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,2673369088.0,240230400.0,1094447104.0,3133530112.0,64.0,0.0
20-04 16:35:14,12.375,0.125,86.750,0.750,0.0,0.0,0.0,12288.0,2685673472.0,240234496.0,1094447104.0,3121221632.0,0.0,0.0
20-04 16:35:15,12.500,0.0,87.500,0.0,0.0,0.0,0.0,0.0,2697891840.0,240234496.0,1094447104.0,3109003264.0,64.0,0.0
20-04 16:35:16,12.484,0.125,87.391,0.0,0.0,0.0,0.0,0.0,2707804160.0,240234496.0,1094447104.0,3099090944.0,0.0,0.0
20-04 16:35:17,12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2720448512.0,240234496.0,1094447104.0,3086446592.0,64.0,0.0
20-04 16:35:18,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,2733219840.0,240234496.0,1094447104.0,3073675264.0,0.0,0.0
20-04 16:35:19,12.516,0.0,87.359,0.125,0.0,0.0,0.0,352256.0,2745987072.0,240238592.0,1094447104.0,3060903936.0,64.0,0.0
20-04 16:35:20,12.484,0.125,87.391,0.0,0.0,0.0,0.0,0.0,2756407296.0,240238592.0,1094447104.0,3050483712.0,0.0,0.0
20-04 16:35:21,12.281,0.125,87.594,0.0,0.0,0.0,0.0,0.0,2768543744.0,240238592.0,1094447104.0,3038347264.0,64.0,0.0
20-04 16:35:22,12.594,0.0,87.406,0.0,0.0,0.0,0.0,0.0,2781761536.0,240238592.0,1094447104.0,3025129472.0,0.0,0.0
20-04 16:35:23,12.390,0.125,87.484,0.0,0.0,0.0,0.0,4096.0,2794119168.0,240238592.0,1094447104.0,3012771840.0,64.0,0.0
20-04 16:35:24,12.265,0.250,87.234,0.250,0.0,0.0,0.0,12288.0,2807492608.0,240242688.0,1094447104.0,2999394304.0,0.0,0.0
20-04 16:35:25,12.484,0.125,87.391,0.0,0.0,0.0,0.0,0.0,2819129344.0,240242688.0,1094447104.0,2987757568.0,64.0,0.0
20-04 16:35:26,12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,2831712256.0,240242688.0,1094447104.0,2975174656.0,0.0,0.0
20-04 16:35:27,12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2844102656.0,240242688.0,1094447104.0,2962784256.0,64.0,0.0
20-04 16:35:28,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,2856685568.0,240242688.0,1094447104.0,2950201344.0,0.0,0.0
20-04 16:35:29,12.500,0.0,87.0,0.500,0.0,0.0,0.0,12288.0,2867208192.0,240246784.0,1094443008.0,2939678720.0,64.0,0.0
20-04 16:35:30,12.484,0.125,87.391,0.0,0.0,0.0,0.0,0.0,2879791104.0,240246784.0,1094443008.0,2927095808.0,0.0,0.0
20-04 16:35:31,12.406,0.0,87.594,0.0,0.0,0.0,0.0,0.0,2892369920.0,240246784.0,1094447104.0,2914512896.0,64.0,0.0
20-04 16:35:32,12.360,0.125,87.516,0.0,0.0,0.0,0.0,0.0,2904760320.0,240246784.0,1094447104.0,2902122496.0,0.0,0.0
