"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/confd/cauchy/microbench-encode-64MB-8.csv",,,,"Date:","18 Apr 2016 15:24:02 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
18-04 15:24:02,5.627,1.121,92.367,0.883,0.0,0.002,85719.276,298166.371,341049344.0,154341376.0,1064861696.0,5581324288.0,0.0,0.0
18-04 15:24:03,5.852,6.361,84.733,3.053,0.0,0.0,0.0,606208.0,376975360.0,154402816.0,1064976384.0,5545222144.0,308.0,90.0
18-04 15:24:04,5.875,6.750,87.375,0.0,0.0,0.0,0.0,0.0,1135493120.0,154402816.0,1065213952.0,4786466816.0,522.0,168.0
18-04 15:24:05,6.383,6.008,87.610,0.0,0.0,0.0,0.0,0.0,1483444224.0,154402816.0,1065222144.0,4438507520.0,166.0,250.0
18-04 15:24:06,6.508,6.008,87.484,0.0,0.0,0.0,0.0,0.0,1829650432.0,154402816.0,1065271296.0,4092252160.0,64.0,0.0
18-04 15:24:07,6.015,6.391,87.594,0.0,0.0,0.0,0.0,0.0,2171252736.0,154402816.0,1065271296.0,3750649856.0,0.0,0.0
18-04 15:24:08,6.383,6.008,87.234,0.375,0.0,0.0,0.0,155648.0,2517757952.0,154411008.0,1065267200.0,3404140544.0,190.0,0.0
18-04 15:24:09,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,2582261760.0,154411008.0,1065267200.0,3339636736.0,0.0,70.0
18-04 15:24:10,12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,2595004416.0,154411008.0,1065271296.0,3326889984.0,64.0,0.0
18-04 15:24:11,12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,2608087040.0,154411008.0,1065271296.0,3313807360.0,0.0,0.0
18-04 15:24:12,12.265,0.125,87.610,0.0,0.0,0.0,0.0,0.0,2620346368.0,154411008.0,1065271296.0,3301548032.0,190.0,0.0
18-04 15:24:13,12.375,0.250,87.375,0.0,0.0,0.0,0.0,0.0,2632359936.0,154411008.0,1065271296.0,3289534464.0,0.0,70.0
18-04 15:24:14,12.390,0.0,87.484,0.125,0.0,0.0,0.0,12288.0,2646654976.0,154415104.0,1065267200.0,3275239424.0,64.0,0.0
18-04 15:24:15,12.484,0.125,87.391,0.0,0.0,0.0,0.0,0.0,2658091008.0,154415104.0,1065267200.0,3263803392.0,0.0,0.0
18-04 15:24:16,12.516,0.0,87.484,0.0,0.0,0.0,0.0,0.0,2671878144.0,154415104.0,1065267200.0,3250016256.0,64.0,0.0
18-04 15:24:17,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,2684391424.0,154415104.0,1065271296.0,3237498880.0,0.0,0.0
18-04 15:24:18,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,2698117120.0,154415104.0,1065271296.0,3223773184.0,64.0,0.0
18-04 15:24:19,12.516,0.0,86.984,0.501,0.0,0.0,0.0,24576.0,2710700032.0,154419200.0,1065267200.0,3211190272.0,0.0,0.0
18-04 15:24:20,12.390,0.0,87.610,0.0,0.0,0.0,0.0,0.0,2723213312.0,154419200.0,1065271296.0,3198672896.0,64.0,0.0
18-04 15:24:21,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,2737954816.0,154419200.0,1065271296.0,3183931392.0,0.0,0.0
18-04 15:24:22,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,2750472192.0,154419200.0,1065271296.0,3171414016.0,64.0,0.0
18-04 15:24:23,12.500,0.250,87.250,0.0,0.0,0.0,0.0,0.0,2763247616.0,154419200.0,1065271296.0,3158638592.0,0.0,0.0
18-04 15:24:24,12.406,0.0,87.218,0.376,0.0,0.0,0.0,577536.0,2775887872.0,154423296.0,1065271296.0,3145994240.0,64.0,0.0
18-04 15:24:25,12.500,0.0,87.500,0.0,0.0,0.0,0.0,0.0,2788470784.0,154423296.0,1065271296.0,3133411328.0,0.0,0.0
18-04 15:24:26,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,2802909184.0,154423296.0,1065271296.0,3118972928.0,64.0,0.0
18-04 15:24:27,12.500,0.0,87.500,0.0,0.0,0.0,0.0,0.0,2815492096.0,154423296.0,1065271296.0,3106390016.0,0.0,0.0
18-04 15:24:28,12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2828136448.0,154423296.0,1065271296.0,3093745664.0,64.0,0.0
18-04 15:24:29,12.500,0.0,87.125,0.375,0.0,0.0,0.0,65536.0,2840719360.0,154427392.0,1065267200.0,3081162752.0,0.0,0.0
18-04 15:24:30,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,2853556224.0,154427392.0,1065267200.0,3068325888.0,64.0,0.0
