"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/confd/xor/microbench-encode-4MB-1.csv",,,,"Date:","19 Apr 2016 20:09:05 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 20:09:05,1.052,0.426,97.465,1.056,0.0,0.002,158785.277,428059.762,339427328.0,127397888.0,1064468480.0,5610283008.0,0.0,0.0
19-04 20:09:06,6.667,5.786,84.277,3.270,0.0,0.0,430080.0,536576.0,369913856.0,127426560.0,1064955904.0,5579280384.0,332.0,168.0
19-04 20:09:07,9.649,2.757,87.594,0.0,0.0,0.0,106496.0,0.0,516612096.0,127426560.0,1065357312.0,5432180736.0,206.0,250.0
19-04 20:09:08,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,528969728.0,127426560.0,1065365504.0,5419814912.0,292.0,90.0
19-04 20:09:09,12.140,0.375,87.484,0.0,0.0,0.0,0.0,0.0,541216768.0,127426560.0,1065365504.0,5407567872.0,230.0,0.0
19-04 20:09:10,10.875,1.750,87.375,0.0,0.0,0.0,0.0,0.0,498380800.0,127426560.0,1065369600.0,5450399744.0,0.0,0.0
19-04 20:09:11,10.861,1.623,87.266,0.250,0.0,0.0,0.0,0.0,493101056.0,127434752.0,1065361408.0,5455679488.0,64.0,70.0
19-04 20:09:12,10.777,1.629,87.343,0.251,0.0,0.0,0.0,147456.0,488960000.0,127438848.0,1065369600.0,5459808256.0,126.0,0.0
19-04 20:09:13,10.875,1.750,87.375,0.0,0.0,0.0,0.0,16384.0,483463168.0,127438848.0,1065369600.0,5465305088.0,64.0,0.0
19-04 20:09:14,10.875,1.625,87.500,0.0,0.0,0.0,0.0,16113664.0,480751616.0,127438848.0,1065369600.0,5468016640.0,0.0,0.0
19-04 20:09:15,11.0,1.625,87.375,0.0,0.0,0.0,0.0,8437760.0,493154304.0,127438848.0,1065369600.0,5455613952.0,64.0,70.0
19-04 20:09:16,10.638,1.752,87.610,0.0,0.0,0.0,0.0,11685888.0,493060096.0,127438848.0,1065369600.0,5455708160.0,126.0,0.0
19-04 20:09:17,10.861,1.748,84.145,3.246,0.0,0.0,0.0,5935104.0,483287040.0,127447040.0,1065369600.0,5465473024.0,64.0,0.0
19-04 20:09:18,10.513,2.003,87.484,0.0,0.0,0.0,0.0,3960832.0,481341440.0,127447040.0,1065369600.0,5467418624.0,0.0,0.0
19-04 20:09:19,10.986,1.623,87.391,0.0,0.0,0.0,0.0,2478080.0,493309952.0,127447040.0,1065369600.0,5455450112.0,64.0,0.0
19-04 20:09:20,10.625,1.875,85.625,1.875,0.0,0.0,0.0,8491008.0,491847680.0,127447040.0,1065369600.0,5456912384.0,0.0,0.0
19-04 20:09:21,11.264,1.252,87.484,0.0,0.0,0.0,0.0,12247040.0,483106816.0,127447040.0,1065369600.0,5465653248.0,64.0,0.0
19-04 20:09:22,11.0,1.500,87.250,0.250,0.0,0.0,0.0,417792.0,480698368.0,127455232.0,1065369600.0,5468053504.0,0.0,0.0
19-04 20:09:23,10.889,1.627,87.484,0.0,0.0,0.0,0.0,0.0,492949504.0,127455232.0,1065369600.0,5455802368.0,64.0,0.0
19-04 20:09:24,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,492949504.0,127455232.0,1065369600.0,5455802368.0,0.0,0.0
19-04 20:09:25,10.500,2.0,87.500,0.0,0.0,0.0,0.0,0.0,484085760.0,127455232.0,1065369600.0,5464666112.0,0.0,0.0
19-04 20:09:26,10.526,1.880,87.594,0.0,0.0,0.0,0.0,2441216.0,480542720.0,127455232.0,1065369600.0,5468209152.0,64.0,0.0
19-04 20:09:27,8.783,2.509,88.206,0.502,0.0,0.0,53248.0,49152.0,347750400.0,127455232.0,1065414656.0,5600956416.0,1.84467440737e+19,1.84467440737e+19
