"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/confd_int/aes_sha_512/microbench-encode-4MB-7.csv",,,,"Date:","18 Apr 2016 14:28:53 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
18-04 14:28:53,1.411,0.569,96.466,1.552,0.0,0.002,173265.453,512213.646,336564224.0,129236992.0,1057382400.0,5618393088.0,0.0,0.0
18-04 14:28:54,5.823,6.203,84.937,3.038,0.0,0.0,0.0,544768.0,369864704.0,129306624.0,1057452032.0,5584953344.0,230.0,90.0
18-04 14:28:55,9.738,2.871,87.391,0.0,0.0,0.0,0.0,0.0,516571136.0,129306624.0,1057771520.0,5437927424.0,308.0,168.0
18-04 14:28:56,12.281,0.125,87.594,0.0,0.0,0.0,0.0,0.0,529006592.0,129306624.0,1057779712.0,5425483776.0,522.0,160.0
18-04 14:28:57,12.235,0.499,87.266,0.0,0.0,0.0,0.0,0.0,542142464.0,129306624.0,1057779712.0,5412347904.0,0.0,90.0
18-04 14:28:58,10.276,2.130,87.594,0.0,0.0,0.0,0.0,0.0,494505984.0,129306624.0,1057783808.0,5459980288.0,64.0,0.0
18-04 14:28:59,9.238,3.371,87.391,0.0,0.0,0.0,0.0,0.0,505679872.0,129306624.0,1057783808.0,5448806400.0,0.0,0.0
18-04 14:29:00,10.013,2.503,87.484,0.0,0.0,0.0,0.0,151552.0,504913920.0,129310720.0,1057783808.0,5449568256.0,190.0,70.0
18-04 14:29:01,10.250,2.375,87.375,0.0,0.0,0.0,0.0,0.0,494604288.0,129310720.0,1057783808.0,5459877888.0,0.0,0.0
18-04 14:29:02,9.500,3.0,87.500,0.0,0.0,0.0,0.0,0.0,505675776.0,129310720.0,1057783808.0,5448806400.0,64.0,0.0
18-04 14:29:03,9.774,2.632,87.594,0.0,0.0,0.0,0.0,4096.0,499896320.0,129310720.0,1057783808.0,5454585856.0,0.0,0.0
18-04 14:29:04,10.0,2.500,87.500,0.0,0.0,0.0,0.0,577536.0,509804544.0,129310720.0,1057783808.0,5444677632.0,190.0,70.0
18-04 14:29:05,8.875,3.0,87.625,0.500,0.0,0.0,0.0,24576.0,347365376.0,129318912.0,1057783808.0,5607108608.0,0.0,0.0
