"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/confd_int/cauchy_sha_512/microbench-encode-4MB-8.csv",,,,"Date:","18 Apr 2016 15:05:32 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
18-04 15:05:32,4.911,0.926,93.009,1.153,0.0,0.001,107311.870,349091.618,337145856.0,146137088.0,1062076416.0,5596217344.0,0.0,0.0
18-04 15:05:33,5.605,5.860,84.841,3.694,0.0,0.0,0.0,528384.0,368455680.0,146178048.0,1062268928.0,5564674048.0,396.0,168.0
18-04 15:05:34,9.0,3.500,87.500,0.0,0.0,0.0,0.0,0.0,518787072.0,146178048.0,1062387712.0,5414223872.0,142.0,250.0
18-04 15:05:35,12.030,0.376,87.594,0.0,0.0,0.0,0.0,0.0,531087360.0,146178048.0,1062387712.0,5401923584.0,522.0,90.0
18-04 15:05:36,12.250,0.500,87.250,0.0,0.0,0.0,0.0,585728.0,545153024.0,146178048.0,1062387712.0,5387857920.0,0.0,0.0
18-04 15:05:37,10.138,2.253,87.610,0.0,0.0,0.0,0.0,0.0,502579200.0,146178048.0,1062391808.0,5430427648.0,64.0,0.0
18-04 15:05:38,10.013,2.503,86.984,0.501,0.0,0.0,0.0,155648.0,498679808.0,146182144.0,1062391808.0,5434322944.0,0.0,70.0
18-04 15:05:39,9.988,2.622,87.391,0.0,0.0,0.0,0.0,0.0,513957888.0,146182144.0,1062391808.0,5419044864.0,190.0,0.0
18-04 15:05:40,10.138,2.378,87.484,0.0,0.0,0.0,0.0,0.0,510738432.0,146182144.0,1062391808.0,5422264320.0,0.0,0.0
18-04 15:05:41,9.750,2.750,87.500,0.0,0.0,0.0,0.0,143360.0,509743104.0,146182144.0,1062391808.0,5423259648.0,64.0,0.0
18-04 15:05:42,10.025,2.381,87.594,0.0,0.0,0.0,0.0,0.0,506028032.0,146182144.0,1062391808.0,5426974720.0,0.0,70.0
18-04 15:05:43,10.250,2.375,87.375,0.0,0.0,0.0,0.0,0.0,497070080.0,146182144.0,1062391808.0,5435932672.0,190.0,0.0
18-04 15:05:44,10.125,2.375,87.250,0.250,0.0,0.0,0.0,61440.0,512598016.0,146186240.0,1062391808.0,5420400640.0,0.0,0.0
18-04 15:05:45,10.138,2.253,87.610,0.0,0.0,0.0,0.0,0.0,508362752.0,146186240.0,1062391808.0,5424635904.0,64.0,0.0
18-04 15:05:46,10.013,2.503,87.484,0.0,0.0,0.0,0.0,36864.0,501231616.0,146186240.0,1062391808.0,5431767040.0,0.0,0.0
18-04 15:05:47,10.375,2.125,87.500,0.0,0.0,0.0,0.0,0.0,488042496.0,146186240.0,1062391808.0,5444956160.0,64.0,0.0
