"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/confd_int/xor_sha_512/microbench-encode-4MB-5.csv",,,,"Date:","20 Apr 2016 17:04:31 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 17:04:31,1.788,0.338,97.758,0.116,0.0,0.000,8632.451,37917.230,389287936.0,253140992.0,1098321920.0,5400825856.0,0.0,0.0
20-04 17:04:32,6.203,5.823,84.937,3.038,0.0,0.0,0.0,589824.0,423432192.0,253165568.0,1098452992.0,5366525952.0,308.0,168.0
20-04 17:04:33,10.0,2.625,87.375,0.0,0.0,0.0,0.0,0.0,571166720.0,253165568.0,1098620928.0,5218623488.0,522.0,250.0
20-04 17:04:34,12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,582979584.0,253165568.0,1098641408.0,5206790144.0,166.0,90.0
20-04 17:04:35,12.390,0.250,87.359,0.0,0.0,0.0,0.0,12288.0,596746240.0,253165568.0,1098641408.0,5193023488.0,64.0,0.0
20-04 17:04:36,11.236,1.373,87.391,0.0,0.0,0.0,0.0,0.0,536219648.0,253165568.0,1098670080.0,5253521408.0,0.0,0.0
20-04 17:04:37,11.250,1.250,87.375,0.125,0.0,0.0,0.0,0.0,535846912.0,253169664.0,1098665984.0,5253894144.0,190.0,70.0
20-04 17:04:38,10.500,2.125,87.375,0.0,0.0,0.0,0.0,176128.0,536215552.0,253173760.0,1098665984.0,5253521408.0,0.0,0.0
20-04 17:04:39,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,538943488.0,253173760.0,1098670080.0,5250789376.0,64.0,0.0
20-04 17:04:40,10.625,1.875,87.500,0.0,0.0,0.0,0.0,360448.0,540020736.0,253173760.0,1098670080.0,5249712128.0,0.0,0.0
20-04 17:04:41,11.014,1.502,87.484,0.0,0.0,0.0,0.0,0.0,540721152.0,253173760.0,1098670080.0,5249011712.0,190.0,70.0
20-04 17:04:42,10.763,1.627,87.610,0.0,0.0,0.0,0.0,0.0,541544448.0,253173760.0,1098670080.0,5248188416.0,0.0,0.0
20-04 17:04:43,11.236,1.498,86.767,0.499,0.0,0.0,0.0,20480.0,541728768.0,253181952.0,1098670080.0,5247995904.0,64.0,0.0
20-04 17:04:44,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,542552064.0,253181952.0,1098670080.0,5247172608.0,0.0,0.0
20-04 17:04:45,10.777,1.629,87.594,0.0,0.0,0.0,0.0,4096.0,542744576.0,253181952.0,1098670080.0,5246980096.0,64.0,0.0
20-04 17:04:46,10.612,1.998,87.391,0.0,0.0,0.0,0.0,0.0,543567872.0,253181952.0,1098670080.0,5246156800.0,0.0,0.0
20-04 17:04:47,10.763,1.627,87.610,0.0,0.0,0.0,0.0,0.0,547000320.0,253181952.0,1098670080.0,5242724352.0,64.0,0.0
20-04 17:04:48,10.750,1.750,86.875,0.625,0.0,0.0,0.0,32768.0,547880960.0,253190144.0,1098670080.0,5241835520.0,0.0,0.0
20-04 17:04:49,11.0,1.625,87.375,0.0,0.0,0.0,0.0,0.0,552136704.0,253190144.0,1098670080.0,5237579776.0,64.0,0.0
20-04 17:04:50,10.638,1.752,87.610,0.0,0.0,0.0,0.0,0.0,552263680.0,253190144.0,1098670080.0,5237452800.0,0.0,0.0
20-04 17:04:51,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,552390656.0,253190144.0,1098670080.0,5237325824.0,64.0,0.0
20-04 17:04:52,10.889,1.627,87.484,0.0,0.0,0.0,0.0,0.0,552263680.0,253190144.0,1098670080.0,5237452800.0,0.0,0.0
20-04 17:04:53,10.513,1.877,87.234,0.375,0.0,0.0,0.0,12288.0,552517632.0,253190144.0,1098670080.0,5237198848.0,64.0,0.0
20-04 17:04:54,11.125,1.500,87.375,0.0,0.0,0.0,0.0,0.0,553648128.0,253190144.0,1098670080.0,5236068352.0,0.0,0.0
20-04 17:04:55,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,553349120.0,253190144.0,1098670080.0,5236367360.0,64.0,0.0
