"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/confd_int_sign/aes_rsa_sha_512/microbench-encode-16MB-7.csv",,,,"Date:","20 Apr 2016 16:26:13 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 16:26:13,1.466,0.272,98.128,0.133,0.0,0.000,8831.120,40128.459,395198464.0,258113536.0,1096318976.0,5391945728.0,0.0,0.0
20-04 16:26:14,5.337,5.210,84.752,4.701,0.0,0.0,0.0,806912.0,420319232.0,258129920.0,1096437760.0,5366689792.0,372.0,258.0
20-04 16:26:15,6.884,5.632,87.484,0.0,0.0,0.0,0.0,0.0,808419328.0,258129920.0,1096597504.0,4978429952.0,458.0,250.0
20-04 16:26:16,9.512,2.879,87.610,0.0,0.0,0.0,0.0,0.0,986886144.0,258129920.0,1096638464.0,4799922176.0,230.0,0.0
20-04 16:26:17,12.375,0.375,87.250,0.0,0.0,0.0,0.0,0.0,997773312.0,258129920.0,1096638464.0,4789035008.0,0.0,0.0
20-04 16:26:18,12.140,0.250,87.610,0.0,0.0,0.0,0.0,0.0,1009696768.0,258129920.0,1096642560.0,4777107456.0,64.0,0.0
20-04 16:26:19,12.390,0.0,87.234,0.375,0.0,0.0,0.0,147456.0,1022259200.0,258138112.0,1096634368.0,4764545024.0,126.0,70.0
20-04 16:26:20,12.484,0.250,87.266,0.0,0.0,0.0,0.0,4096.0,1034735616.0,258138112.0,1096642560.0,4752060416.0,64.0,0.0
20-04 16:26:21,12.140,0.250,87.610,0.0,0.0,0.0,0.0,0.0,1048395776.0,258138112.0,1096642560.0,4738400256.0,0.0,0.0
20-04 16:26:22,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,1060974592.0,258138112.0,1096642560.0,4725821440.0,64.0,0.0
20-04 16:26:23,12.516,0.0,87.484,0.0,0.0,0.0,0.0,0.0,1071521792.0,258138112.0,1096642560.0,4715274240.0,126.0,70.0
20-04 16:26:24,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,1085562880.0,258138112.0,1096642560.0,4701233152.0,64.0,0.0
20-04 16:26:25,12.390,0.125,87.359,0.125,0.0,0.0,0.0,12288.0,1095954432.0,258138112.0,1096642560.0,4690841600.0,0.0,0.0
