"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/confd_int_sign/cauchy_rsa_sha_512/microbench-encode-4MB-10.csv",,,,"Date:","20 Apr 2016 17:04:03 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 17:04:03,1.745,0.302,97.819,0.134,0.0,0.000,8578.243,39458.195,396488704.0,259469312.0,1096798208.0,5388820480.0,0.0,0.0
20-04 17:04:04,6.337,5.830,84.791,3.042,0.0,0.0,0.0,589824.0,428896256.0,259469312.0,1097011200.0,5356199936.0,474.0,180.0
20-04 17:04:05,9.500,3.125,87.375,0.0,0.0,0.0,0.0,0.0,578830336.0,259469312.0,1097076736.0,5206200320.0,356.0,78.0
20-04 17:04:06,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,591499264.0,259469312.0,1097125888.0,5193482240.0,166.0,250.0
20-04 17:04:07,12.390,0.250,87.359,0.0,0.0,0.0,0.0,0.0,605896704.0,259469312.0,1097125888.0,5179084800.0,64.0,0.0
20-04 17:04:08,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,561786880.0,259469312.0,1097129984.0,5223190528.0,0.0,0.0
20-04 17:04:09,10.0,2.625,87.250,0.125,0.0,0.0,0.0,147456.0,581222400.0,259469312.0,1097129984.0,5203755008.0,190.0,0.0
20-04 17:04:10,10.125,2.375,87.500,0.0,0.0,0.0,0.0,12288.0,573513728.0,259469312.0,1097129984.0,5211463680.0,0.0,70.0
20-04 17:04:11,9.625,3.0,87.375,0.0,0.0,0.0,0.0,0.0,564367360.0,259469312.0,1097129984.0,5220610048.0,64.0,0.0
20-04 17:04:12,10.0,2.500,87.500,0.0,0.0,0.0,0.0,0.0,558440448.0,259469312.0,1097129984.0,5226536960.0,0.0,0.0
20-04 17:04:13,10.150,2.381,87.469,0.0,0.0,0.0,0.0,0.0,575025152.0,259469312.0,1097129984.0,5209952256.0,190.0,0.0
20-04 17:04:14,9.988,2.622,87.391,0.0,0.0,0.0,0.0,0.0,562438144.0,259469312.0,1097129984.0,5222539264.0,0.0,70.0
20-04 17:04:15,10.125,2.375,84.0,3.500,0.0,0.0,0.0,389120.0,582664192.0,259469312.0,1097129984.0,5202313216.0,64.0,0.0
20-04 17:04:16,9.762,2.753,87.484,0.0,0.0,0.0,0.0,0.0,574853120.0,259469312.0,1097129984.0,5210124288.0,0.0,0.0
20-04 17:04:17,10.125,2.375,87.500,0.0,0.0,0.0,0.0,0.0,563146752.0,259469312.0,1097129984.0,5221830656.0,64.0,0.0
20-04 17:04:18,10.0,2.625,87.375,0.0,0.0,0.0,0.0,0.0,582283264.0,259469312.0,1097129984.0,5202694144.0,0.0,0.0
20-04 17:04:19,10.138,2.378,87.484,0.0,0.0,0.0,0.0,0.0,574726144.0,259469312.0,1097129984.0,5210251264.0,64.0,0.0
20-04 17:04:20,9.750,2.750,87.125,0.375,0.0,0.0,0.0,49152.0,562880512.0,259469312.0,1097129984.0,5222096896.0,0.0,0.0
20-04 17:04:21,10.625,1.750,87.625,0.0,0.0,0.0,0.0,0.0,545644544.0,259469312.0,1097129984.0,5239332864.0,64.0,0.0
