"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/confd_int_sign/xor_rsa_sha_512/microbench-encode-4MB-9.csv",,,,"Date:","19 Apr 2016 20:14:48 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 20:14:48,1.525,0.525,96.729,1.219,0.0,0.002,143339.563,412154.381,340115456.0,135729152.0,1067315200.0,5598416896.0,0.0,0.0
19-04 20:14:49,6.068,5.942,84.829,3.161,0.0,0.0,0.0,540672.0,370716672.0,135770112.0,1067520000.0,5567569920.0,470.0,258.0
19-04 20:14:50,10.150,2.256,87.594,0.0,0.0,0.0,0.0,0.0,517070848.0,135770112.0,1067589632.0,5421146112.0,624.0,250.0
19-04 20:14:51,12.235,0.375,87.391,0.0,0.0,0.0,0.0,0.0,530661376.0,135770112.0,1067593728.0,5407551488.0,328.0,0.0
19-04 20:14:52,12.375,0.375,87.250,0.0,0.0,0.0,0.0,4096.0,543436800.0,135770112.0,1067593728.0,5394776064.0,286.0,0.0
19-04 20:14:53,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,506818560.0,135770112.0,1067597824.0,5431390208.0,222.0,0.0
19-04 20:14:54,10.861,1.748,87.266,0.125,0.0,0.0,0.0,172032.0,517156864.0,135778304.0,1067626496.0,5421015040.0,412.0,70.0
19-04 20:14:55,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,504328192.0,135778304.0,1067626496.0,5433843712.0,120.0,0.0
19-04 20:14:56,11.014,1.502,87.484,0.0,0.0,0.0,0.0,0.0,517054464.0,135778304.0,1067626496.0,5421117440.0,244.0,0.0
19-04 20:14:57,10.737,1.873,87.391,0.0,0.0,0.0,0.0,0.0,502796288.0,135778304.0,1067626496.0,5435375616.0,120.0,0.0
19-04 20:14:58,10.889,1.627,87.484,0.0,0.0,0.0,0.0,0.0,517173248.0,135778304.0,1067626496.0,5420998656.0,250.0,70.0
19-04 20:14:59,11.111,1.498,87.391,0.0,0.0,0.0,0.0,0.0,499200000.0,135778304.0,1067626496.0,5438971904.0,60.0,0.0
19-04 20:15:00,10.401,2.005,87.469,0.125,0.0,0.0,0.0,12288.0,514535424.0,135782400.0,1067622400.0,5423636480.0,124.0,0.0
19-04 20:15:01,10.737,1.873,87.391,0.0,0.0,0.0,0.0,0.0,496627712.0,135782400.0,1067622400.0,5441544192.0,60.0,0.0
19-04 20:15:02,10.025,2.381,87.594,0.0,0.0,0.0,0.0,499712.0,509321216.0,135782400.0,1067626496.0,5428846592.0,244.0,0.0
19-04 20:15:03,10.112,2.497,87.391,0.0,0.0,0.0,0.0,0.0,496812032.0,135782400.0,1067626496.0,5441355776.0,180.0,0.0
19-04 20:15:04,10.500,2.0,87.500,0.0,0.0,0.0,0.0,0.0,507797504.0,135782400.0,1067626496.0,5430370304.0,244.0,0.0
19-04 20:15:05,10.388,2.003,87.484,0.125,0.0,0.0,0.0,36864.0,522592256.0,135790592.0,1067622400.0,5415571456.0,60.0,0.0
19-04 20:15:06,10.375,2.250,87.375,0.0,0.0,0.0,0.0,0.0,506515456.0,135790592.0,1067622400.0,5431648256.0,244.0,0.0
19-04 20:15:07,10.388,2.003,87.610,0.0,0.0,0.0,0.0,0.0,517132288.0,135790592.0,1067626496.0,5421027328.0,180.0,0.0
19-04 20:15:08,10.875,1.750,87.375,0.0,0.0,0.0,0.0,0.0,505192448.0,135790592.0,1067626496.0,5432967168.0,244.0,0.0
19-04 20:15:09,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,517259264.0,135790592.0,1067626496.0,5420900352.0,0.0,0.0
19-04 20:15:10,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,503709696.0,135790592.0,1067626496.0,5434449920.0,64.0,0.0
19-04 20:15:11,10.375,2.250,87.125,0.250,0.0,0.0,0.0,12288.0,512253952.0,135798784.0,1067622400.0,5425901568.0,0.0,0.0
19-04 20:15:12,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,496013312.0,135798784.0,1067622400.0,5442142208.0,0.0,0.0
19-04 20:15:13,10.763,1.752,87.484,0.0,0.0,0.0,0.0,0.0,505712640.0,135798784.0,1067622400.0,5432442880.0,64.0,0.0
19-04 20:15:14,10.875,1.625,87.500,0.0,0.0,0.0,0.0,0.0,516632576.0,135798784.0,1067626496.0,5421518848.0,0.0,0.0
19-04 20:15:15,10.737,1.873,87.391,0.0,0.0,0.0,0.0,0.0,504946688.0,135798784.0,1067626496.0,5433204736.0,64.0,0.0
19-04 20:15:16,6.337,3.042,88.213,2.408,0.0,0.0,0.0,217088.0,341291008.0,135819264.0,1067298816.0,5597167616.0,1.84467440737e+19,1.84467440737e+19
