"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/confd_sign/aes_rsa_sha_512/microbench-encode-4MB-3.csv",,,,"Date:","20 Apr 2016 17:46:28 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 17:46:28,2.125,0.342,97.392,0.140,0.0,0.000,8316.065,38980.339,394235904.0,257748992.0,1095266304.0,5394325504.0,0.0,0.0
20-04 17:46:29,5.830,6.844,84.030,3.295,0.0,0.0,0.0,577536.0,425668608.0,257765376.0,1095217152.0,5362925568.0,474.0,180.0
20-04 17:46:30,10.0,2.625,87.375,0.0,0.0,0.0,0.0,0.0,575410176.0,257765376.0,1095589888.0,5212811264.0,356.0,78.0
20-04 17:46:31,12.015,0.375,87.610,0.0,0.0,0.0,0.0,0.0,587640832.0,257765376.0,1095593984.0,5200576512.0,166.0,250.0
20-04 17:46:32,12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,600727552.0,257765376.0,1095593984.0,5187489792.0,64.0,0.0
20-04 17:46:33,10.500,2.0,87.500,0.0,0.0,0.0,0.0,0.0,565321728.0,257765376.0,1095593984.0,5222895616.0,0.0,0.0
20-04 17:46:34,10.263,2.253,87.484,0.0,0.0,0.0,0.0,212992.0,565321728.0,257765376.0,1095593984.0,5222895616.0,190.0,0.0
20-04 17:46:35,10.375,2.125,87.125,0.375,0.0,0.0,0.0,163840.0,565444608.0,257769472.0,1095593984.0,5222768640.0,0.0,70.0
20-04 17:46:36,10.500,2.0,87.500,0.0,0.0,0.0,0.0,0.0,565190656.0,257769472.0,1095593984.0,5223022592.0,64.0,0.0
20-04 17:46:37,10.263,2.253,87.484,0.0,0.0,0.0,0.0,0.0,565444608.0,257769472.0,1095593984.0,5222768640.0,0.0,0.0
20-04 17:46:38,9.988,2.622,87.391,0.0,0.0,0.0,0.0,0.0,565444608.0,257769472.0,1095593984.0,5222768640.0,190.0,0.0
20-04 17:46:39,10.276,2.130,87.594,0.0,0.0,0.0,0.0,0.0,565190656.0,257769472.0,1095593984.0,5223022592.0,0.0,70.0
20-04 17:46:40,9.875,2.625,86.875,0.625,0.0,0.0,0.0,12288.0,564637696.0,257773568.0,1095589888.0,5223575552.0,64.0,0.0
