"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/confd_sign/aes_rsa_sha_512/microbench-encode-64MB-5.csv",,,,"Date:","18 Apr 2016 14:48:19 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
18-04 14:48:19,3.721,0.824,94.256,1.198,0.0,0.002,135963.035,438102.337,335327232.0,140754944.0,1059979264.0,5605515264.0,0.0,0.0
18-04 14:48:20,6.164,5.535,84.528,3.774,0.0,0.0,0.0,536576.0,368410624.0,140791808.0,1059852288.0,5572521984.0,538.0,168.0
18-04 14:48:21,5.131,7.384,87.484,0.0,0.0,0.0,0.0,0.0,1120268288.0,140791808.0,1060327424.0,4820189184.0,292.0,250.0
18-04 14:48:22,6.500,6.0,87.500,0.0,0.0,0.0,0.0,0.0,1489108992.0,140791808.0,1060352000.0,4451323904.0,230.0,90.0
18-04 14:48:23,6.541,5.912,87.547,0.0,0.0,0.0,0.0,0.0,1842958336.0,140791808.0,1060360192.0,4097466368.0,0.0,0.0
18-04 14:48:24,6.140,6.391,87.469,0.0,0.0,0.0,0.0,0.0,2204446720.0,140791808.0,1060360192.0,3735977984.0,124.0,0.0
18-04 14:48:25,5.875,6.625,87.500,0.0,0.0,0.0,0.0,0.0,2565828608.0,140791808.0,1060360192.0,3374596096.0,126.0,70.0
18-04 14:48:26,12.030,0.251,87.343,0.376,0.0,0.0,0.0,151552.0,2578399232.0,140800000.0,1060352000.0,3362025472.0,64.0,0.0
18-04 14:48:27,12.375,0.250,86.625,0.750,0.0,0.0,0.0,4096.0,2591096832.0,140800000.0,1060352000.0,3349327872.0,0.0,0.0
18-04 14:48:28,12.281,0.125,86.717,0.877,0.0,0.0,0.0,454656.0,2606141440.0,140800000.0,1060360192.0,3334275072.0,64.0,0.0
18-04 14:48:29,12.500,0.0,87.500,0.0,0.0,0.0,0.0,0.0,2618593280.0,140800000.0,1060360192.0,3321823232.0,126.0,70.0
18-04 14:48:30,12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,2632232960.0,140800000.0,1060360192.0,3308183552.0,64.0,0.0
18-04 14:48:31,12.484,0.125,86.767,0.624,0.0,0.0,0.0,20480.0,2642423808.0,140808192.0,1060352000.0,3297992704.0,0.0,0.0
18-04 14:48:32,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,2656083968.0,140808192.0,1060352000.0,3284332544.0,64.0,0.0
18-04 14:48:33,12.375,0.125,87.500,0.0,0.0,0.0,0.0,266240.0,2670690304.0,140808192.0,1060360192.0,3269718016.0,0.0,0.0
18-04 14:48:34,12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,2683588608.0,140808192.0,1060360192.0,3256819712.0,64.0,0.0
18-04 14:48:35,12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,2696359936.0,140808192.0,1060360192.0,3244048384.0,0.0,0.0
18-04 14:48:36,12.375,0.125,86.875,0.625,0.0,0.0,0.0,86016.0,2708750336.0,140816384.0,1060352000.0,3231657984.0,64.0,0.0
18-04 14:48:37,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,2721452032.0,140816384.0,1060360192.0,3218948096.0,0.0,0.0
18-04 14:48:38,12.484,0.125,87.391,0.0,0.0,0.0,0.0,0.0,2736066560.0,140816384.0,1060360192.0,3204333568.0,0.0,0.0
18-04 14:48:39,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,2748710912.0,140816384.0,1060360192.0,3191689216.0,64.0,0.0
18-04 14:48:40,12.500,0.250,87.250,0.0,0.0,0.0,0.0,0.0,2761392128.0,140816384.0,1060360192.0,3179008000.0,0.0,0.0
18-04 14:48:41,12.265,0.125,86.984,0.626,0.0,0.0,0.0,12288.0,2776043520.0,140824576.0,1060360192.0,3164348416.0,64.0,0.0
18-04 14:48:42,12.500,0.125,87.375,0.0,0.0,0.0,0.0,0.0,2788626432.0,140824576.0,1060360192.0,3151765504.0,0.0,0.0
18-04 14:48:43,12.484,0.125,87.391,0.0,0.0,0.0,0.0,0.0,2801016832.0,140824576.0,1060360192.0,3139375104.0,64.0,0.0
18-04 14:48:44,12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,2815696896.0,140824576.0,1060360192.0,3124695040.0,0.0,0.0
18-04 14:48:45,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,2828214272.0,140824576.0,1060360192.0,3112177664.0,64.0,0.0
18-04 14:48:46,12.500,0.0,87.0,0.500,0.0,0.0,0.0,12288.0,2840797184.0,140832768.0,1060352000.0,3099594752.0,0.0,0.0
18-04 14:48:47,12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,2853314560.0,140832768.0,1060352000.0,3087077376.0,64.0,0.0
18-04 14:48:48,12.516,0.0,87.484,0.0,0.0,0.0,0.0,0.0,2868113408.0,140832768.0,1060360192.0,3072270336.0,0.0,0.0
18-04 14:48:49,12.500,0.0,87.500,0.0,0.0,0.0,0.0,0.0,2880696320.0,140832768.0,1060360192.0,3059687424.0,64.0,0.0
18-04 14:48:50,12.360,0.375,87.266,0.0,0.0,0.0,0.0,0.0,2893406208.0,140832768.0,1060360192.0,3046977536.0,0.0,0.0
18-04 14:48:51,12.250,0.250,86.750,0.750,0.0,0.0,0.0,12288.0,2908037120.0,140836864.0,1060356096.0,3032346624.0,64.0,0.0
18-04 14:48:52,12.500,0.125,87.375,0.0,0.0,0.0,0.0,0.0,2920747008.0,140836864.0,1060356096.0,3019636736.0,0.0,0.0
18-04 14:48:53,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,2933256192.0,140836864.0,1060364288.0,3007119360.0,64.0,0.0
18-04 14:48:54,12.500,0.0,87.500,0.0,0.0,0.0,0.0,0.0,2945839104.0,140836864.0,1060364288.0,2994536448.0,0.0,0.0
18-04 14:48:55,12.484,0.125,87.391,0.0,0.0,0.0,0.0,0.0,2960519168.0,140836864.0,1060364288.0,2979856384.0,64.0,0.0
18-04 14:48:56,12.406,0.0,86.967,0.627,0.0,0.0,0.0,12288.0,2973036544.0,140840960.0,1060360192.0,2967339008.0,0.0,0.0
18-04 14:48:57,12.484,0.125,87.391,0.0,0.0,0.0,0.0,0.0,2985615360.0,140840960.0,1060364288.0,2954756096.0,64.0,0.0
18-04 14:48:58,12.484,0.125,87.391,0.0,0.0,0.0,0.0,0.0,3000295424.0,140840960.0,1060364288.0,2940076032.0,0.0,0.0
18-04 14:48:59,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,3012878336.0,140840960.0,1060364288.0,2927493120.0,64.0,0.0
18-04 14:49:00,12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,3025723392.0,140840960.0,1060364288.0,2914648064.0,0.0,0.0
18-04 14:49:01,12.484,0.125,86.642,0.749,0.0,0.0,0.0,12288.0,3040305152.0,140849152.0,1060364288.0,2900058112.0,64.0,0.0
18-04 14:49:02,12.500,0.0,87.500,0.0,0.0,0.0,0.0,0.0,3052888064.0,140849152.0,1060364288.0,2887475200.0,0.0,0.0
18-04 14:49:03,12.390,0.125,87.484,0.0,0.0,0.0,0.0,77824.0,3065470976.0,140849152.0,1060364288.0,2874892288.0,64.0,0.0
18-04 14:49:04,12.360,0.250,87.391,0.0,0.0,0.0,0.0,0.0,3080212480.0,140849152.0,1060364288.0,2860150784.0,0.0,0.0
18-04 14:49:05,12.390,0.0,87.610,0.0,0.0,0.0,0.0,0.0,3092795392.0,140849152.0,1060364288.0,2847567872.0,64.0,0.0
18-04 14:49:06,12.484,0.125,86.767,0.624,0.0,0.0,0.0,12288.0,3105378304.0,140857344.0,1060356096.0,2834984960.0,0.0,0.0
18-04 14:49:07,12.500,0.125,87.375,0.0,0.0,0.0,0.0,0.0,2568118272.0,140857344.0,1060356096.0,3372244992.0,64.0,0.0
18-04 14:49:08,12.140,0.250,87.610,0.0,0.0,0.0,0.0,16384.0,2627919872.0,140857344.0,1060364288.0,3312435200.0,0.0,0.0
18-04 14:49:09,10.750,1.750,87.500,0.0,0.0,0.0,0.0,0.0,2108215296.0,140857344.0,1060364288.0,3832139776.0,64.0,0.0
18-04 14:49:10,11.139,1.502,87.359,0.0,0.0,0.0,0.0,0.0,2109747200.0,140857344.0,1060364288.0,3830607872.0,0.0,0.0
18-04 14:49:11,11.404,1.003,86.967,0.627,0.0,0.0,0.0,20480.0,2109530112.0,140857344.0,1060364288.0,3830824960.0,64.0,0.0
18-04 14:49:12,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,2109530112.0,140857344.0,1060364288.0,3830824960.0,0.0,0.0
18-04 14:49:13,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,2109657088.0,140857344.0,1060364288.0,3830697984.0,64.0,0.0
18-04 14:49:14,10.500,2.0,87.500,0.0,0.0,0.0,0.0,0.0,2154733568.0,140857344.0,1060364288.0,3785621504.0,0.0,0.0
18-04 14:49:15,11.389,1.126,87.484,0.0,0.0,0.0,0.0,0.0,2191781888.0,140857344.0,1060364288.0,3748573184.0,64.0,0.0
18-04 14:49:16,11.375,1.125,86.500,1.0,0.0,0.0,0.0,12288.0,2229657600.0,140861440.0,1060360192.0,3710697472.0,0.0,0.0
18-04 14:49:17,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,2280173568.0,140861440.0,1060364288.0,3660177408.0,64.0,0.0
18-04 14:49:18,11.389,1.126,87.484,0.0,0.0,0.0,0.0,0.0,2310041600.0,140861440.0,1060364288.0,3630309376.0,0.0,0.0
18-04 14:49:19,11.236,1.248,87.516,0.0,0.0,0.0,0.0,0.0,2310041600.0,140861440.0,1060364288.0,3630309376.0,64.0,0.0
18-04 14:49:20,10.638,2.003,87.359,0.0,0.0,0.0,0.0,0.0,2310082560.0,140861440.0,1060364288.0,3630268416.0,0.0,0.0
18-04 14:49:21,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,2310057984.0,140861440.0,1060364288.0,3630292992.0,64.0,0.0
18-04 14:49:22,11.529,0.877,87.343,0.251,0.0,0.0,0.0,12288.0,2310057984.0,140869632.0,1060356096.0,3630292992.0,0.0,0.0
18-04 14:49:23,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,2310057984.0,140869632.0,1060356096.0,3630292992.0,64.0,0.0
18-04 14:49:24,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,2310049792.0,140869632.0,1060364288.0,3630292992.0,0.0,0.0
18-04 14:49:25,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,2310049792.0,140869632.0,1060364288.0,3630292992.0,64.0,0.0
18-04 14:49:26,11.389,1.001,87.610,0.0,0.0,0.0,0.0,0.0,2310049792.0,140869632.0,1060364288.0,3630292992.0,0.0,0.0
18-04 14:49:27,11.514,1.001,86.859,0.626,0.0,0.0,0.0,12288.0,2310049792.0,140877824.0,1060356096.0,3630292992.0,64.0,0.0
18-04 14:49:28,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,2310049792.0,140877824.0,1060356096.0,3630292992.0,0.0,0.0
18-04 14:49:29,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,2310037504.0,140877824.0,1060368384.0,3630292992.0,64.0,0.0
18-04 14:49:30,11.389,1.126,87.484,0.0,0.0,0.0,0.0,0.0,2312269824.0,140877824.0,1060368384.0,3628060672.0,0.0,0.0
18-04 14:49:31,10.889,1.752,87.359,0.0,0.0,0.0,0.0,0.0,2322063360.0,140877824.0,1060368384.0,3618267136.0,64.0,0.0
18-04 14:49:32,11.139,1.252,86.859,0.751,0.0,0.0,0.0,12288.0,2361909248.0,140881920.0,1060364288.0,3578421248.0,0.0,0.0
18-04 14:49:33,10.861,1.748,87.391,0.0,0.0,0.0,0.0,0.0,2109534208.0,140881920.0,1060368384.0,3830792192.0,64.0,0.0
18-04 14:49:34,11.404,1.003,87.594,0.0,0.0,0.0,0.0,0.0,2109534208.0,140881920.0,1060368384.0,3830792192.0,0.0,0.0
18-04 14:49:35,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,2123960320.0,140881920.0,1060368384.0,3816366080.0,64.0,0.0
18-04 14:49:36,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,2123960320.0,140881920.0,1060368384.0,3816366080.0,0.0,0.0
18-04 14:49:37,11.486,1.124,86.642,0.749,0.0,0.0,0.0,12288.0,2123960320.0,140886016.0,1060364288.0,3816366080.0,64.0,0.0
18-04 14:49:38,11.529,0.877,87.594,0.0,0.0,0.0,0.0,0.0,2123960320.0,140886016.0,1060364288.0,3816366080.0,0.0,0.0
18-04 14:49:39,11.500,1.0,87.500,0.0,0.0,0.0,0.0,8192.0,2123956224.0,140886016.0,1060368384.0,3816366080.0,64.0,0.0
18-04 14:49:40,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,2123956224.0,140886016.0,1060368384.0,3816366080.0,0.0,0.0
18-04 14:49:41,10.750,1.875,87.375,0.0,0.0,0.0,0.0,0.0,2139381760.0,140886016.0,1060368384.0,3800940544.0,64.0,0.0
18-04 14:49:42,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,2185920512.0,140886016.0,1060368384.0,3754401792.0,0.0,0.0
18-04 14:49:43,11.264,1.252,87.234,0.250,0.0,0.0,0.0,20480.0,2218901504.0,140894208.0,1060360192.0,3721420800.0,64.0,0.0
18-04 14:49:44,11.125,1.375,87.500,0.0,0.0,0.0,0.0,8192.0,2254671872.0,140894208.0,1060368384.0,3685642240.0,0.0,0.0
18-04 14:49:45,10.638,1.877,87.484,0.0,0.0,0.0,0.0,0.0,2313453568.0,140894208.0,1060368384.0,3626860544.0,64.0,0.0
18-04 14:49:46,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,2324574208.0,140894208.0,1060368384.0,3615739904.0,0.0,0.0
18-04 14:49:47,11.514,0.876,87.610,0.0,0.0,0.0,0.0,0.0,2324447232.0,140894208.0,1060368384.0,3615866880.0,64.0,0.0
