"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/confd_sign/cauchy_rsa_sha_512/microbench-encode-16MB-8.csv",,,,"Date:","20 Apr 2016 16:29:58 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 16:29:58,1.540,0.306,97.998,0.155,0.0,0.000,8805.335,40020.915,406478848.0,256569344.0,1097478144.0,5381050368.0,0.0,0.0
20-04 16:29:59,6.305,6.431,84.363,2.900,0.0,0.0,0.0,606208.0,437944320.0,256585728.0,1097502720.0,5349543936.0,474.0,90.0
20-04 16:30:00,6.133,6.258,87.610,0.0,0.0,0.0,0.0,0.0,881147904.0,256585728.0,1097691136.0,4906151936.0,356.0,168.0
20-04 16:30:01,10.652,1.754,87.594,0.0,0.0,0.0,0.0,0.0,998363136.0,256585728.0,1097723904.0,4788903936.0,286.0,250.0
20-04 16:30:02,11.890,0.751,84.731,2.628,0.0,0.0,0.0,204800.0,1012113408.0,256585728.0,1097793536.0,4775084032.0,244.0,0.0
20-04 16:30:03,12.125,0.375,87.500,0.0,0.0,0.0,0.0,0.0,1024561152.0,256585728.0,1097793536.0,4762636288.0,180.0,0.0
20-04 16:30:04,12.500,0.0,87.500,0.0,0.0,0.0,0.0,0.0,1038852096.0,256585728.0,1097793536.0,4748345344.0,250.0,0.0
20-04 16:30:05,12.500,0.0,87.375,0.125,0.0,0.0,0.0,180224.0,1051049984.0,256593920.0,1097785344.0,4736147456.0,120.0,70.0
20-04 16:30:06,12.516,0.0,87.484,0.0,0.0,0.0,0.0,0.0,1063874560.0,256593920.0,1097793536.0,4723314688.0,244.0,0.0
20-04 16:30:07,12.500,0.0,87.500,0.0,0.0,0.0,0.0,90112.0,1076518912.0,256593920.0,1097793536.0,4710670336.0,180.0,0.0
20-04 16:30:08,12.484,0.125,87.391,0.0,0.0,0.0,0.0,0.0,1089163264.0,256593920.0,1097793536.0,4698025984.0,250.0,0.0
20-04 16:30:09,12.390,0.0,87.610,0.0,0.0,0.0,0.0,0.0,1100918784.0,256593920.0,1097793536.0,4686270464.0,0.0,70.0
