"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/confd_sign/cauchy_rsa_sha_512/microbench-encode-16MB-2.csv",,,,"Date:","19 Apr 2016 20:16:15 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 20:16:15,1.446,0.538,96.531,1.484,0.0,0.001,140151.609,406683.155,348454912.0,138051584.0,1068097536.0,5586972672.0,0.0,0.0
19-04 20:16:16,3.526,3.526,84.257,8.690,0.0,0.0,0.0,868352.0,348516352.0,138096640.0,1068113920.0,5586849792.0,166.0,90.0
19-04 20:16:17,7.384,5.131,87.484,0.0,0.0,0.0,0.0,0.0,653463552.0,138096640.0,1068318720.0,5281697792.0,372.0,168.0
19-04 20:16:18,7.885,4.506,87.610,0.0,0.0,0.0,0.0,0.0,928239616.0,138096640.0,1068318720.0,5006921728.0,458.0,250.0
19-04 20:16:19,12.281,0.251,87.469,0.0,0.0,0.0,0.0,0.0,939954176.0,138096640.0,1068355584.0,4995170304.0,64.0,0.0
19-04 20:16:20,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,952893440.0,138096640.0,1068396544.0,4982190080.0,0.0,0.0
19-04 20:16:21,12.500,0.0,87.125,0.375,0.0,0.0,0.0,159744.0,964624384.0,138108928.0,1068392448.0,4970450944.0,64.0,0.0
19-04 20:16:22,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,978092032.0,138108928.0,1068392448.0,4956983296.0,126.0,70.0
19-04 20:16:23,12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,990797824.0,138108928.0,1068392448.0,4944277504.0,64.0,0.0
19-04 20:16:24,12.500,0.125,87.375,0.0,0.0,0.0,0.0,0.0,1001213952.0,138108928.0,1068396544.0,4933857280.0,0.0,0.0
19-04 20:16:25,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,1012649984.0,138108928.0,1068396544.0,4922421248.0,64.0,0.0
19-04 20:16:26,12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,1024974848.0,138108928.0,1068396544.0,4910096384.0,126.0,70.0
