"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/confd_sign/xor_rsa_sha_512/microbench-encode-16MB-6.csv",,,,"Date:","20 Apr 2016 17:18:52 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
20-04 17:18:52,1.883,0.353,97.609,0.155,0.0,0.000,8483.165,39189.416,406937600.0,258539520.0,1098149888.0,5377949696.0,0.0,0.0
20-04 17:18:53,5.682,6.944,84.470,2.904,0.0,0.0,0.0,614400.0,436088832.0,258564096.0,1098260480.0,5348663296.0,396.0,90.0
20-04 17:18:54,6.750,5.750,87.500,0.0,0.0,0.0,0.0,0.0,864972800.0,258564096.0,1098362880.0,4919676928.0,142.0,168.0
20-04 17:18:55,10.263,2.253,87.484,0.0,0.0,0.0,0.0,0.0,998055936.0,258564096.0,1098366976.0,4786589696.0,522.0,160.0
20-04 17:18:56,12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1011027968.0,258564096.0,1098375168.0,4773609472.0,0.0,90.0
20-04 17:18:57,12.265,0.250,87.484,0.0,0.0,0.0,0.0,0.0,1024937984.0,258564096.0,1098375168.0,4759699456.0,64.0,0.0
20-04 17:18:58,12.484,0.125,87.016,0.375,0.0,0.0,0.0,172032.0,1035227136.0,258564096.0,1098375168.0,4749410304.0,0.0,0.0
20-04 17:18:59,12.390,0.0,87.610,0.0,0.0,0.0,0.0,8192.0,1047392256.0,258564096.0,1098375168.0,4737245184.0,190.0,70.0
20-04 17:19:00,12.516,0.0,87.484,0.0,0.0,0.0,0.0,0.0,1059590144.0,258564096.0,1098375168.0,4725047296.0,0.0,0.0
20-04 17:19:01,12.500,0.0,87.500,0.0,0.0,0.0,0.0,0.0,1072816128.0,258564096.0,1098375168.0,4711821312.0,64.0,0.0
20-04 17:19:02,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,1085460480.0,258564096.0,1098375168.0,4699176960.0,0.0,0.0
20-04 17:19:03,12.265,0.125,87.610,0.0,0.0,0.0,0.0,0.0,1097150464.0,258564096.0,1098375168.0,4687486976.0,190.0,70.0
20-04 17:19:04,12.375,0.250,87.250,0.125,0.0,0.0,0.0,20480.0,1109667840.0,258564096.0,1098375168.0,4674969600.0,0.0,0.0
20-04 17:19:05,12.500,0.0,87.500,0.0,0.0,0.0,0.0,327680.0,1122312192.0,258564096.0,1098375168.0,4662325248.0,64.0,0.0
20-04 17:19:06,12.390,0.0,87.610,0.0,0.0,0.0,0.0,0.0,1009446912.0,258564096.0,1098375168.0,4775190528.0,0.0,0.0
20-04 17:19:07,10.487,2.122,87.391,0.0,0.0,0.0,0.0,0.0,948727808.0,258564096.0,1098379264.0,4835905536.0,64.0,0.0
20-04 17:19:08,10.902,1.504,87.594,0.0,0.0,0.0,0.0,0.0,906797056.0,258564096.0,1098379264.0,4877836288.0,0.0,0.0
20-04 17:19:09,11.125,1.375,86.875,0.625,0.0,0.0,0.0,20480.0,939880448.0,258572288.0,1098379264.0,4844744704.0,214.0,0.0
20-04 17:19:10,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,974065664.0,258572288.0,1098379264.0,4810559488.0,0.0,0.0
20-04 17:19:11,11.014,1.502,87.484,0.0,0.0,0.0,0.0,0.0,915296256.0,258572288.0,1098379264.0,4869328896.0,64.0,0.0
20-04 17:19:12,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,956338176.0,258572288.0,1098379264.0,4828286976.0,0.0,0.0
20-04 17:19:13,11.014,1.377,87.610,0.0,0.0,0.0,0.0,0.0,906788864.0,258572288.0,1098379264.0,4877836288.0,64.0,0.0
20-04 17:19:14,11.375,1.125,86.750,0.750,0.0,0.0,0.0,12288.0,939499520.0,258572288.0,1098379264.0,4845125632.0,0.0,0.0
20-04 17:19:15,11.610,0.999,87.391,0.0,0.0,0.0,0.0,0.0,974065664.0,258572288.0,1098379264.0,4810559488.0,64.0,0.0
20-04 17:19:16,11.278,1.378,87.343,0.0,0.0,0.0,0.0,0.0,914374656.0,258572288.0,1098379264.0,4870250496.0,0.0,0.0
20-04 17:19:17,11.500,0.875,87.625,0.0,0.0,0.0,0.0,0.0,955543552.0,258572288.0,1098379264.0,4829081600.0,64.0,0.0
20-04 17:19:18,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,904470528.0,258572288.0,1098379264.0,4880154624.0,0.0,0.0
20-04 17:19:19,11.014,1.502,86.358,1.126,0.0,0.0,0.0,16384.0,938450944.0,258572288.0,1098379264.0,4846174208.0,64.0,0.0
20-04 17:19:20,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,973017088.0,258572288.0,1098379264.0,4811608064.0,0.0,0.0
20-04 17:19:21,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,913281024.0,258572288.0,1098379264.0,4871344128.0,64.0,0.0
20-04 17:19:22,11.125,1.375,87.500,0.0,0.0,0.0,0.0,0.0,955338752.0,258572288.0,1098379264.0,4829286400.0,0.0,0.0
20-04 17:19:23,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,904011776.0,258572288.0,1098379264.0,4880613376.0,64.0,0.0
20-04 17:19:24,11.250,1.250,86.750,0.750,0.0,0.0,0.0,131072.0,937603072.0,258576384.0,1098383360.0,4847013888.0,0.0,0.0
20-04 17:19:25,11.264,1.126,87.610,0.0,0.0,0.0,0.0,0.0,962445312.0,258576384.0,1098383360.0,4822171648.0,64.0,0.0
20-04 17:19:26,11.125,1.500,87.375,0.0,0.0,0.0,0.0,0.0,913514496.0,258576384.0,1098383360.0,4871102464.0,0.0,0.0
20-04 17:19:27,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,955428864.0,258576384.0,1098383360.0,4829188096.0,64.0,0.0
20-04 17:19:28,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,895959040.0,258576384.0,1098383360.0,4888657920.0,0.0,0.0
20-04 17:19:29,11.389,1.126,86.859,0.626,0.0,0.0,0.0,61440.0,924250112.0,258576384.0,1098383360.0,4860366848.0,64.0,0.0
20-04 17:19:30,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,955322368.0,258576384.0,1098383360.0,4829294592.0,0.0,0.0
