"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","swarm-start",,,,"User:","ubuntu"
"Cmdline:","dstat -t -c -d -m -n --output results/microbench/encode/confd_sign/xor_rsa_sha_512/microbench-encode-16MB-5.csv",,,,"Date:","19 Apr 2016 21:10:50 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
19-04 21:10:50,5.234,1.063,92.639,1.063,0.0,0.001,80483.891,272024.665,352960512.0,159240192.0,1074790400.0,5554585600.0,0.0,0.0
19-04 21:10:51,6.524,6.524,83.438,3.513,0.0,0.0,0.0,684032.0,387629056.0,159313920.0,1074925568.0,5519708160.0,396.0,168.0
19-04 21:10:52,6.383,6.133,87.484,0.0,0.0,0.0,0.0,0.0,831209472.0,159313920.0,1074958336.0,5076094976.0,142.0,250.0
19-04 21:10:53,10.625,1.875,87.500,0.0,0.0,0.0,0.0,0.0,947138560.0,159313920.0,1074958336.0,4960165888.0,356.0,90.0
19-04 21:10:54,12.265,0.375,87.359,0.0,0.0,0.0,0.0,0.0,960049152.0,159313920.0,1075068928.0,4947144704.0,166.0,0.0
19-04 21:10:55,12.265,0.125,87.610,0.0,0.0,0.0,0.0,0.0,973447168.0,159313920.0,1075073024.0,4933742592.0,64.0,0.0
19-04 21:10:56,12.516,0.0,86.984,0.501,0.0,0.0,0.0,155648.0,986087424.0,159322112.0,1075064832.0,4921102336.0,0.0,70.0
19-04 21:10:57,12.250,0.250,87.500,0.0,0.0,0.0,0.0,0.0,998412288.0,159322112.0,1075064832.0,4908777472.0,190.0,0.0
19-04 21:10:58,12.375,0.125,87.500,0.0,0.0,0.0,0.0,0.0,1008132096.0,159322112.0,1075064832.0,4899057664.0,0.0,0.0
19-04 21:10:59,12.484,0.125,87.391,0.0,0.0,0.0,0.0,8192.0,1020768256.0,159322112.0,1075073024.0,4886413312.0,64.0,0.0
19-04 21:11:00,12.390,0.125,87.484,0.0,0.0,0.0,0.0,0.0,1033285632.0,159322112.0,1075073024.0,4873895936.0,0.0,70.0
19-04 21:11:01,12.265,0.125,87.610,0.0,0.0,0.0,0.0,0.0,1047072768.0,159322112.0,1075073024.0,4860108800.0,190.0,0.0
19-04 21:11:02,12.484,0.125,87.266,0.125,0.0,0.0,0.0,20480.0,1057492992.0,159326208.0,1075068928.0,4849688576.0,0.0,0.0
19-04 21:11:03,12.406,0.0,87.594,0.0,0.0,0.0,0.0,0.0,1070010368.0,159326208.0,1075068928.0,4837171200.0,64.0,0.0
19-04 21:11:04,11.985,0.624,87.391,0.0,0.0,0.0,0.0,0.0,825856000.0,159326208.0,1075068928.0,5081325568.0,0.0,0.0
19-04 21:11:05,10.625,2.0,87.375,0.0,0.0,0.0,0.0,0.0,920240128.0,159326208.0,1075077120.0,4986933248.0,64.0,0.0
19-04 21:11:06,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,862326784.0,159326208.0,1075077120.0,5044846592.0,0.0,0.0
19-04 21:11:07,11.375,1.125,87.125,0.375,0.0,0.0,0.0,24576.0,903368704.0,159326208.0,1075077120.0,5003804672.0,64.0,0.0
19-04 21:11:08,11.625,0.875,87.500,0.0,0.0,0.0,0.0,0.0,853946368.0,159326208.0,1075077120.0,5053227008.0,0.0,0.0
19-04 21:11:09,11.389,1.126,87.484,0.0,0.0,0.0,0.0,0.0,886784000.0,159326208.0,1075077120.0,5020389376.0,64.0,0.0
19-04 21:11:10,11.375,1.125,87.500,0.0,0.0,0.0,0.0,0.0,921088000.0,159326208.0,1075077120.0,4986085376.0,0.0,0.0
19-04 21:11:11,11.0,1.500,87.500,0.0,0.0,0.0,0.0,0.0,863588352.0,159326208.0,1075077120.0,5043585024.0,64.0,0.0
19-04 21:11:12,11.389,1.126,86.984,0.501,0.0,0.0,0.0,12288.0,903360512.0,159326208.0,1075077120.0,5003812864.0,0.0,0.0
19-04 21:11:13,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,854700032.0,159326208.0,1075077120.0,5052473344.0,64.0,0.0
19-04 21:11:14,11.264,1.377,87.359,0.0,0.0,0.0,0.0,0.0,886599680.0,159326208.0,1075077120.0,5020573696.0,0.0,0.0
19-04 21:11:15,11.500,1.0,87.500,0.0,0.0,0.0,0.0,0.0,921165824.0,159326208.0,1075077120.0,4986007552.0,64.0,0.0
19-04 21:11:16,11.264,1.252,87.484,0.0,0.0,0.0,0.0,0.0,862523392.0,159326208.0,1075077120.0,5044649984.0,0.0,0.0
19-04 21:11:17,11.125,1.375,86.250,1.250,0.0,0.0,0.0,12288.0,903311360.0,159330304.0,1075073024.0,5003862016.0,64.0,0.0
19-04 21:11:18,11.250,1.250,87.500,0.0,0.0,0.0,0.0,0.0,853381120.0,159330304.0,1075073024.0,5053792256.0,0.0,0.0
19-04 21:11:19,11.514,1.001,85.607,1.877,0.0,0.0,0.0,790528.0,886595584.0,159330304.0,1075077120.0,5020573696.0,64.0,0.0
19-04 21:11:20,11.404,1.003,87.594,0.0,0.0,0.0,0.0,0.0,920399872.0,159330304.0,1075077120.0,4986769408.0,0.0,0.0
19-04 21:11:21,11.361,1.248,87.391,0.0,0.0,0.0,0.0,0.0,861503488.0,159330304.0,1075077120.0,5045665792.0,64.0,0.0
19-04 21:11:22,11.250,1.250,87.250,0.250,0.0,0.0,0.0,65536.0,903561216.0,159338496.0,1075068928.0,5003608064.0,0.0,0.0
19-04 21:11:23,11.028,1.378,87.594,0.0,0.0,0.0,0.0,0.0,852742144.0,159338496.0,1075068928.0,5054427136.0,64.0,0.0
